e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,timestamp,e13
2376.0,13.0,411.0,3150.0,116.0,27.0,69.0,21680.0,1764.0,402950.0,18948.0,8447.0,1535737200000,0.0
2267.0,8.0,346.0,2677.0,105.0,17.0,39.0,21137.0,1686.0,369253.0,16942.0,9418.0,1535737500000,0.0
2166.0,11.0,347.0,2933.0,136.0,20.0,50.0,19274.0,1657.0,341838.0,16597.0,8115.0,1535737800000,0.0
2265.0,11.0,325.0,2750.0,121.0,8.0,32.0,27827.0,1816.0,315566.0,16309.0,7959.0,1535738100000,0.0
2453.0,8.0,336.0,3269.0,143.0,25.0,93.0,20678.0,2014.0,307748.0,17340.0,7050.0,1535738400000,0.0
2430.0,9.0,310.0,3142.0,133.0,11.0,80.0,29672.0,1932.0,285446.0,21229.0,6811.0,1535738700000,0.0
2528.0,8.0,299.0,3170.0,128.0,13.0,41.0,24142.0,2003.0,273475.0,25973.0,7638.0,1535739000000,0.0
2571.0,12.0,345.0,3496.0,120.0,38.0,70.0,20773.0,2128.0,264633.0,21160.0,7704.0,1535739300000,0.0
3137.0,10.0,343.0,4226.0,138.0,27.0,67.0,20956.0,2592.0,246450.0,23918.0,10715.0,1535739600000,0.0
4084.0,14.0,289.0,4645.0,148.0,34.0,43.0,22242.0,3083.0,241711.0,32506.0,9317.0,1535739900000,0.0
5482.0,15.0,313.0,6271.0,189.0,32.0,60.0,23002.0,4525.0,226916.0,44493.0,10160.0,1535740200000,0.0
5213.0,8.0,300.0,6274.0,140.0,43.0,28.0,23489.0,4126.0,217912.0,66363.0,6955.0,1535740500000,0.0
5275.0,7.0,245.0,7116.0,164.0,31.0,26.0,25122.0,4585.0,211848.0,77756.0,7440.0,1535740800000,0.0
5152.0,11.0,288.0,6558.0,139.0,22.0,72.0,23090.0,4399.0,196899.0,88606.0,7719.0,1535741100000,0.0
5167.0,13.0,176.0,7099.0,155.0,28.0,50.0,26049.0,4515.0,185702.0,88904.0,7022.0,1535741400000,0.0
5480.0,6.0,192.0,7246.0,140.0,61.0,41.0,28366.0,4652.0,179752.0,74188.0,6580.0,1535741700000,0.0
5235.0,9.0,231.0,7409.0,63.0,47.0,74.0,27448.0,4447.0,171864.0,89691.0,6804.0,1535742000000,10.0
5480.0,5.0,208.0,7985.0,111.0,15.0,60.0,35983.0,4161.0,161051.0,77040.0,7571.0,1535742300000,0.0
4895.0,6.0,248.0,7757.0,88.0,26.0,39.0,28116.0,3885.0,159283.0,82371.0,6932.0,1535742600000,0.0
5282.0,9.0,212.0,7058.0,89.0,17.0,34.0,26267.0,4260.0,154209.0,77765.0,5435.0,1535742900000,0.0
3693.0,9.0,237.0,5959.0,88.0,26.0,38.0,27470.0,3005.0,148530.0,49044.0,6586.0,1535743200000,0.0
3041.0,7.0,188.0,4390.0,66.0,42.0,39.0,24806.0,2484.0,143466.0,38553.0,6458.0,1535743500000,0.0
3389.0,7.0,193.0,4310.0,77.0,45.0,56.0,24984.0,2692.0,143398.0,41390.0,5706.0,1535743800000,0.0
3788.0,10.0,186.0,5560.0,73.0,57.0,10.0,26070.0,3395.0,137381.0,54666.0,6558.0,1535744100000,0.0
4025.0,7.0,195.0,6494.0,59.0,41.0,18.0,28330.0,3237.0,140651.0,67535.0,6282.0,1535744400000,0.0
3621.0,5.0,190.0,6163.0,68.0,25.0,23.0,28760.0,3197.0,138941.0,68284.0,6803.0,1535744700000,0.0
4018.0,6.0,212.0,5848.0,91.0,25.0,37.0,33861.0,3554.0,133933.0,56821.0,6522.0,1535745000000,0.0
3996.0,6.0,186.0,5890.0,88.0,27.0,38.0,25367.0,3381.0,136808.0,70105.0,7656.0,1535745300000,0.0
4174.0,8.0,135.0,6122.0,80.0,22.0,43.0,26603.0,4122.0,133704.0,80262.0,7078.0,1535745600000,2.0
4279.0,8.0,164.0,6042.0,64.0,49.0,22.0,26008.0,3486.0,127587.0,73994.0,6898.0,1535745900000,0.0
4479.0,7.0,237.0,6225.0,87.0,33.0,31.0,27348.0,3836.0,130946.0,65236.0,6383.0,1535746200000,1.0
4076.0,10.0,171.0,5600.0,73.0,29.0,21.0,27001.0,3323.0,129953.0,78643.0,7521.0,1535746500000,0.0
4305.0,7.0,267.0,6363.0,76.0,27.0,50.0,30636.0,3414.0,129099.0,80454.0,7837.0,1535746800000,0.0
4126.0,5.0,228.0,6065.0,83.0,18.0,25.0,27453.0,3464.0,131308.0,64154.0,4773.0,1535747100000,0.0
3141.0,6.0,329.0,4225.0,85.0,23.0,21.0,24455.0,2721.0,132332.0,42553.0,5906.0,1535747400000,0.0
2456.0,3.0,211.0,4323.0,75.0,25.0,29.0,30065.0,2130.0,134421.0,34829.0,6244.0,1535747700000,0.0
2232.0,9.0,222.0,3332.0,63.0,48.0,32.0,28978.0,2059.0,141673.0,28585.0,4215.0,1535748000000,0.0
1782.0,7.0,266.0,3995.0,68.0,10.0,17.0,26680.0,1688.0,142720.0,26218.0,4691.0,1535748300000,0.0
1652.0,11.0,247.0,3168.0,59.0,19.0,24.0,24822.0,1330.0,149927.0,19138.0,4853.0,1535748600000,0.0
1669.0,8.0,240.0,2565.0,56.0,51.0,16.0,24604.0,1355.0,153919.0,19257.0,4817.0,1535748900000,0.0
1660.0,13.0,284.0,3026.0,66.0,28.0,29.0,26595.0,1429.0,164335.0,22478.0,4765.0,1535749200000,2.0
1696.0,13.0,264.0,2866.0,79.0,11.0,44.0,26267.0,1428.0,165426.0,27185.0,5127.0,1535749500000,2.0
1822.0,13.0,264.0,2517.0,61.0,22.0,43.0,28240.0,1595.0,180962.0,26229.0,5168.0,1535749800000,0.0
2007.0,7.0,346.0,2829.0,65.0,14.0,43.0,25869.0,1556.0,197078.0,25412.0,6672.0,1535750100000,0.0
2047.0,9.0,356.0,2986.0,59.0,7.0,57.0,28237.0,1608.0,210557.0,26229.0,7723.0,1535750400000,0.0
1997.0,9.0,400.0,3477.0,77.0,7.0,20.0,29400.0,1598.0,217199.0,29814.0,11672.0,1535750700000,0.0
2570.0,11.0,351.0,4038.0,95.0,7.0,44.0,30221.0,2101.0,243464.0,24254.0,10215.0,1535751000000,0.0
2362.0,9.0,445.0,3935.0,71.0,11.0,31.0,32532.0,2117.0,264096.0,26270.0,7573.0,1535751300000,0.0
2308.0,8.0,494.0,3950.0,55.0,15.0,48.0,35645.0,1994.0,288581.0,27050.0,7120.0,1535751600000,0.0
2617.0,16.0,491.0,4143.0,52.0,53.0,30.0,32292.0,1865.0,310100.0,30562.0,7930.0,1535751900000,0.0
2566.0,13.0,522.0,3736.0,64.0,33.0,40.0,33540.0,2160.0,339402.0,30338.0,9328.0,1535752200000,0.0
2327.0,15.0,600.0,3494.0,72.0,16.0,50.0,35245.0,1908.0,363338.0,27270.0,7726.0,1535752500000,0.0
2729.0,24.0,738.0,3800.0,88.0,45.0,41.0,36083.0,2049.0,412844.0,26175.0,9675.0,1535752800000,0.0
2578.0,29.0,716.0,3854.0,54.0,16.0,58.0,39062.0,2059.0,453906.0,24239.0,7416.0,1535753100000,0.0
2971.0,21.0,726.0,3916.0,90.0,57.0,46.0,36531.0,2325.0,487836.0,28464.0,9142.0,1535753400000,0.0
2811.0,10.0,839.0,4517.0,87.0,65.0,79.0,40329.0,2239.0,529828.0,30223.0,9795.0,1535753700000,0.0
3008.0,15.0,820.0,5179.0,101.0,21.0,52.0,42915.0,2486.0,551302.0,26832.0,9504.0,1535754000000,0.0
3139.0,26.0,987.0,5042.0,103.0,41.0,79.0,44252.0,2345.0,584962.0,27648.0,8194.0,1535754300000,0.0
3324.0,21.0,846.0,5253.0,107.0,50.0,70.0,54021.0,2715.0,636975.0,29859.0,7811.0,1535754600000,0.0
3416.0,22.0,985.0,5432.0,97.0,41.0,115.0,52946.0,2775.0,669154.0,31790.0,8821.0,1535754900000,0.0
3529.0,23.0,1035.0,5682.0,104.0,56.0,130.0,54355.0,2774.0,710109.0,27550.0,11155.0,1535755200000,0.0
3604.0,21.0,1025.0,5880.0,179.0,108.0,104.0,56358.0,3162.0,724838.0,29524.0,11059.0,1535755500000,0.0
3843.0,28.0,1097.0,5912.0,190.0,69.0,96.0,55867.0,3306.0,770394.0,29260.0,13146.0,1535755800000,0.0
3802.0,21.0,1196.0,5862.0,191.0,73.0,122.0,54602.0,3146.0,787500.0,27876.0,14823.0,1535756100000,0.0
4434.0,22.0,1263.0,7008.0,238.0,50.0,144.0,55033.0,3899.0,828261.0,30307.0,13257.0,1535756400000,52.0
4485.0,27.0,1258.0,7147.0,208.0,19.0,145.0,59912.0,3911.0,852873.0,30452.0,16159.0,1535756700000,0.0
4489.0,26.0,1384.0,6859.0,226.0,116.0,132.0,65406.0,3958.0,865999.0,41411.0,14689.0,1535757000000,0.0
4446.0,39.0,1350.0,7311.0,190.0,37.0,160.0,60358.0,4007.0,887010.0,40374.0,16194.0,1535757300000,0.0
4729.0,30.0,1340.0,7543.0,199.0,124.0,132.0,61658.0,4221.0,902871.0,35149.0,14998.0,1535757600000,0.0
5041.0,26.0,1362.0,8223.0,179.0,67.0,128.0,68081.0,4408.0,904592.0,36034.0,13993.0,1535757900000,0.0
5298.0,28.0,1410.0,8972.0,218.0,65.0,121.0,71855.0,4621.0,957995.0,40775.0,13577.0,1535758200000,0.0
5376.0,37.0,1264.0,7875.0,244.0,73.0,105.0,79426.0,4283.0,957906.0,43397.0,12261.0,1535758500000,0.0
5538.0,31.0,1742.0,8714.0,278.0,108.0,117.0,68000.0,4765.0,982611.0,41576.0,17944.0,1535758800000,0.0
5792.0,42.0,1372.0,8603.0,278.0,69.0,199.0,79743.0,5092.0,990576.0,39696.0,21301.0,1535759100000,0.0
6473.0,28.0,1395.0,9480.0,231.0,75.0,185.0,81465.0,5767.0,988381.0,48147.0,17013.0,1535759400000,0.0
6559.0,47.0,1590.0,9565.0,257.0,158.0,162.0,84067.0,5482.0,1021344.0,43484.0,16333.0,1535759700000,9.0
6453.0,46.0,1531.0,9669.0,274.0,154.0,297.0,88020.0,5757.0,1052290.0,50257.0,18014.0,1535760000000,42.0
6723.0,43.0,1629.0,10136.0,254.0,80.0,229.0,79475.0,5971.0,1060303.0,43279.0,19169.0,1535760300000,0.0
7173.0,30.0,1756.0,10305.0,281.0,99.0,181.0,92905.0,5765.0,1094985.0,43434.0,17789.0,1535760600000,0.0
6894.0,37.0,1745.0,10495.0,226.0,183.0,172.0,80273.0,6138.0,1132888.0,50570.0,14926.0,1535760900000,0.0
7669.0,32.0,1762.0,11295.0,224.0,82.0,204.0,100342.0,6684.0,1135741.0,43726.0,17801.0,1535761200000,0.0
7837.0,37.0,2168.0,11457.0,251.0,99.0,159.0,90661.0,6753.0,1175035.0,41259.0,17708.0,1535761500000,0.0
8892.0,45.0,2175.0,12589.0,243.0,137.0,279.0,125854.0,7817.0,1216296.0,42946.0,19801.0,1535761800000,0.0
8469.0,33.0,2065.0,12754.0,288.0,238.0,199.0,91483.0,7461.0,1227447.0,50214.0,20412.0,1535762100000,0.0
8678.0,32.0,1977.0,12163.0,303.0,232.0,179.0,97277.0,7593.0,1258612.0,53237.0,17808.0,1535762400000,0.0
9594.0,37.0,1946.0,14336.0,305.0,174.0,213.0,93260.0,8297.0,1289546.0,42613.0,17973.0,1535762700000,0.0
9665.0,29.0,2013.0,14864.0,337.0,150.0,147.0,112763.0,8623.0,1320316.0,42203.0,20870.0,1535763000000,0.0
10109.0,44.0,2000.0,14860.0,317.0,90.0,214.0,99402.0,9315.0,1339101.0,44534.0,13819.0,1535763300000,0.0
11632.0,32.0,1975.0,17207.0,305.0,154.0,394.0,124344.0,10793.0,1371674.0,46949.0,22046.0,1535763600000,35.0
11724.0,27.0,2268.0,17150.0,288.0,168.0,455.0,119449.0,10128.0,1374772.0,50955.0,22701.0,1535763900000,0.0
10889.0,38.0,2244.0,15797.0,274.0,234.0,296.0,111867.0,9840.0,1383827.0,47337.0,24652.0,1535764200000,0.0
11519.0,46.0,2258.0,16685.0,296.0,186.0,313.0,103766.0,10239.0,1384456.0,49598.0,23197.0,1535764500000,0.0
11278.0,36.0,2462.0,16003.0,266.0,216.0,268.0,115236.0,10126.0,1391318.0,52279.0,20520.0,1535764800000,0.0
11416.0,53.0,2149.0,16729.0,247.0,167.0,291.0,119422.0,10135.0,1425914.0,51509.0,23663.0,1535765100000,0.0
12305.0,71.0,2516.0,19185.0,316.0,189.0,296.0,149217.0,10573.0,1692882.0,57472.0,16860.0,1535765400000,0.0
12061.0,34.0,2563.0,17452.0,312.0,253.0,216.0,136518.0,10510.0,1625604.0,48127.0,21008.0,1535765700000,0.0
11766.0,56.0,2486.0,17793.0,309.0,155.0,197.0,137940.0,10331.0,1597508.0,50403.0,18608.0,1535766000000,0.0
11842.0,52.0,2616.0,18868.0,286.0,183.0,213.0,136032.0,10612.0,1580239.0,49449.0,19876.0,1535766300000,0.0
12124.0,38.0,2521.0,18233.0,238.0,116.0,122.0,140361.0,10391.0,1593695.0,47050.0,21166.0,1535766600000,0.0
12359.0,62.0,2867.0,19172.0,320.0,81.0,98.0,126468.0,11234.0,1678663.0,46315.0,17863.0,1535766900000,0.0
14215.0,54.0,2955.0,20875.0,358.0,153.0,391.0,144917.0,12338.0,1768901.0,63913.0,23225.0,1535767200000,27.0
13603.0,55.0,2788.0,19291.0,304.0,216.0,632.0,139562.0,11542.0,1697368.0,59639.0,19932.0,1535767500000,0.0
13142.0,32.0,2986.0,19302.0,293.0,94.0,462.0,153611.0,11201.0,1652934.0,58371.0,20665.0,1535767800000,0.0
13098.0,44.0,2986.0,19723.0,290.0,102.0,370.0,159889.0,11180.0,1633120.0,54577.0,18992.0,1535768100000,0.0
12289.0,43.0,2840.0,18502.0,322.0,180.0,430.0,162974.0,10799.0,1646963.0,53057.0,22173.0,1535768400000,0.0
12580.0,63.0,3027.0,19566.0,314.0,168.0,367.0,177670.0,10941.0,1661561.0,48144.0,15525.0,1535768700000,0.0
13744.0,58.0,2966.0,20287.0,325.0,145.0,374.0,160810.0,11771.0,1664493.0,49959.0,16815.0,1535769000000,0.0
13412.0,42.0,2738.0,19600.0,334.0,186.0,405.0,180668.0,11563.0,1663031.0,48231.0,21329.0,1535769300000,0.0
12817.0,44.0,2885.0,18943.0,350.0,117.0,370.0,137391.0,11011.0,1641587.0,51646.0,21064.0,1535769600000,0.0
12711.0,47.0,3109.0,18811.0,356.0,238.0,366.0,140697.0,11072.0,1641040.0,56404.0,24076.0,1535769900000,0.0
12076.0,53.0,3123.0,18966.0,339.0,175.0,260.0,133631.0,10412.0,1625592.0,53827.0,23266.0,1535770200000,0.0
12530.0,45.0,2663.0,19164.0,353.0,253.0,311.0,145595.0,10908.0,1616967.0,51195.0,19823.0,1535770500000,10.0
13110.0,53.0,2892.0,18935.0,355.0,132.0,496.0,124180.0,10861.0,1590004.0,57626.0,21495.0,1535770800000,68.0
12206.0,61.0,2503.0,18629.0,350.0,149.0,454.0,142827.0,10650.0,1574056.0,58909.0,25996.0,1535771100000,0.0
12403.0,43.0,2643.0,18824.0,366.0,131.0,370.0,164319.0,10555.0,1578884.0,53294.0,21838.0,1535771400000,0.0
12543.0,47.0,2519.0,18917.0,357.0,68.0,336.0,145001.0,10713.0,1593764.0,48697.0,24350.0,1535771700000,0.0
12623.0,47.0,2497.0,18350.0,365.0,178.0,223.0,118393.0,10534.0,1554980.0,48281.0,20698.0,1535772000000,0.0
11940.0,47.0,2473.0,17503.0,325.0,69.0,300.0,125345.0,10347.0,1531142.0,50199.0,16816.0,1535772300000,0.0
13826.0,67.0,2490.0,20774.0,428.0,207.0,382.0,153715.0,12087.0,1702501.0,69590.0,19494.0,1535772600000,0.0
13319.0,66.0,2592.0,19892.0,411.0,265.0,481.0,148947.0,11702.0,1762854.0,72321.0,19681.0,1535772900000,0.0
13253.0,57.0,2445.0,19010.0,369.0,243.0,314.0,139222.0,10882.0,1689525.0,64636.0,23948.0,1535773200000,0.0
12214.0,55.0,2163.0,18685.0,375.0,205.0,229.0,149662.0,10382.0,1638877.0,59483.0,22398.0,1535773500000,0.0
13185.0,49.0,2419.0,18914.0,374.0,286.0,228.0,160766.0,10925.0,1639058.0,53121.0,22117.0,1535773800000,0.0
12567.0,48.0,2311.0,19117.0,389.0,298.0,214.0,163292.0,10729.0,1618994.0,49339.0,20206.0,1535774100000,3.0
13389.0,61.0,2631.0,19869.0,393.0,284.0,461.0,155484.0,11644.0,1599592.0,44553.0,20606.0,1535774400000,41.0
14271.0,41.0,2274.0,20717.0,326.0,185.0,473.0,159348.0,12507.0,1565106.0,49176.0,20252.0,1535774700000,0.0
14226.0,51.0,2499.0,20159.0,308.0,188.0,410.0,155113.0,12205.0,1547443.0,48324.0,20492.0,1535775000000,0.0
14401.0,46.0,2574.0,19634.0,334.0,219.0,287.0,137253.0,12584.0,1536541.0,51795.0,31798.0,1535775300000,0.0
13670.0,53.0,2468.0,19699.0,371.0,191.0,273.0,154543.0,12007.0,1529253.0,58018.0,29499.0,1535775600000,0.0
12511.0,45.0,2304.0,18683.0,334.0,251.0,246.0,171427.0,11020.0,1532700.0,57254.0,33287.0,1535775900000,0.0
12954.0,33.0,2252.0,19702.0,353.0,182.0,213.0,147630.0,11892.0,1537108.0,57842.0,28900.0,1535776200000,0.0
13615.0,54.0,2141.0,19462.0,291.0,213.0,163.0,135314.0,11989.0,1540751.0,51732.0,32002.0,1535776500000,0.0
12640.0,50.0,2123.0,18293.0,284.0,203.0,133.0,125030.0,11100.0,1491755.0,49702.0,26153.0,1535776800000,0.0
12368.0,41.0,2246.0,17518.0,299.0,172.0,59.0,143775.0,10803.0,1519924.0,52309.0,29345.0,1535777100000,2.0
11957.0,45.0,2142.0,18149.0,293.0,221.0,49.0,139195.0,10799.0,1511957.0,55273.0,25643.0,1535777400000,7.0
11339.0,37.0,2149.0,17341.0,344.0,242.0,91.0,129684.0,10326.0,1509934.0,50898.0,25723.0,1535777700000,0.0
12098.0,51.0,2158.0,17799.0,284.0,157.0,330.0,115654.0,10654.0,1512125.0,48800.0,21438.0,1535778000000,27.0
11919.0,52.0,2262.0,17254.0,327.0,179.0,364.0,115132.0,10379.0,1515386.0,48367.0,21136.0,1535778300000,0.0
11391.0,41.0,2259.0,16769.0,313.0,178.0,297.0,121007.0,10129.0,1514705.0,47703.0,22613.0,1535778600000,0.0
11561.0,25.0,2358.0,16448.0,351.0,166.0,331.0,116804.0,10324.0,1506165.0,44837.0,27152.0,1535778900000,0.0
12077.0,55.0,2184.0,16203.0,297.0,222.0,140.0,133056.0,10415.0,1506382.0,43640.0,25657.0,1535779200000,0.0
11529.0,40.0,2167.0,16502.0,316.0,134.0,84.0,125365.0,10229.0,1525926.0,41299.0,20903.0,1535779500000,0.0
12374.0,44.0,1994.0,17012.0,342.0,146.0,63.0,158979.0,10463.0,1523840.0,46654.0,21589.0,1535779800000,0.0
11901.0,44.0,2094.0,16825.0,332.0,125.0,82.0,148974.0,10246.0,1512792.0,43860.0,22639.0,1535780100000,0.0
12106.0,45.0,2105.0,16662.0,317.0,204.0,91.0,142743.0,10398.0,1502334.0,50111.0,20172.0,1535780400000,0.0
12116.0,41.0,2420.0,16476.0,347.0,164.0,92.0,129478.0,10735.0,1486591.0,52307.0,23979.0,1535780700000,0.0
12046.0,44.0,1946.0,16618.0,324.0,297.0,69.0,142200.0,10485.0,1483459.0,45096.0,17722.0,1535781000000,0.0
12323.0,22.0,2092.0,17084.0,304.0,133.0,93.0,135338.0,10454.0,1486816.0,51361.0,16047.0,1535781300000,1.0
12965.0,42.0,2187.0,17793.0,382.0,186.0,467.0,143390.0,11077.0,1512426.0,53105.0,16310.0,1535781600000,36.0
12843.0,30.0,2254.0,17587.0,362.0,132.0,381.0,137242.0,11206.0,1514129.0,48061.0,15863.0,1535781900000,0.0
12766.0,54.0,2144.0,16676.0,377.0,121.0,453.0,107525.0,10959.0,1513308.0,40765.0,15595.0,1535782200000,0.0
12682.0,33.0,2112.0,17358.0,381.0,128.0,324.0,119583.0,10709.0,1511825.0,42055.0,15458.0,1535782500000,0.0
11984.0,42.0,2061.0,17426.0,362.0,161.0,271.0,140859.0,10430.0,1492547.0,42735.0,15135.0,1535782800000,0.0
12042.0,58.0,2376.0,17013.0,383.0,114.0,212.0,122830.0,10589.0,1466622.0,42948.0,18616.0,1535783100000,0.0
11476.0,32.0,2103.0,16802.0,348.0,100.0,232.0,134587.0,9852.0,1467200.0,42422.0,17798.0,1535783400000,0.0
12589.0,43.0,2231.0,18102.0,403.0,140.0,203.0,161925.0,10530.0,1484324.0,43611.0,17414.0,1535783700000,0.0
12272.0,33.0,2310.0,17536.0,364.0,50.0,189.0,155954.0,10340.0,1491589.0,47185.0,14846.0,1535784000000,0.0
12896.0,33.0,2393.0,17784.0,357.0,111.0,130.0,121080.0,10661.0,1502278.0,44487.0,16760.0,1535784300000,0.0
12892.0,33.0,2105.0,17926.0,389.0,99.0,137.0,163563.0,10992.0,1490930.0,44066.0,16718.0,1535784600000,0.0
12012.0,44.0,2480.0,17506.0,400.0,154.0,190.0,137232.0,10347.0,1475907.0,45967.0,17399.0,1535784900000,0.0
12575.0,38.0,2221.0,18047.0,428.0,84.0,424.0,138849.0,11111.0,1480334.0,41159.0,16544.0,1535785200000,33.0
12168.0,45.0,2330.0,17530.0,406.0,107.0,524.0,122363.0,10660.0,1447095.0,36510.0,16990.0,1535785500000,0.0
12335.0,40.0,2469.0,17563.0,465.0,286.0,401.0,155296.0,10572.0,1432924.0,42294.0,14734.0,1535785800000,0.0
12314.0,38.0,2485.0,17796.0,388.0,139.0,377.0,167130.0,10977.0,1445556.0,44960.0,17273.0,1535786100000,0.0
12631.0,33.0,2642.0,17494.0,419.0,171.0,276.0,140166.0,11105.0,1454804.0,48485.0,14567.0,1535786400000,0.0
12444.0,46.0,2093.0,17716.0,366.0,305.0,306.0,131579.0,10912.0,1450667.0,52726.0,15046.0,1535786700000,0.0
13585.0,51.0,2321.0,20701.0,387.0,218.0,282.0,136568.0,11424.0,1434553.0,52581.0,45727.0,1535787000000,0.0
13043.0,35.0,2511.0,19701.0,361.0,117.0,317.0,148433.0,10828.0,1471144.0,50812.0,27384.0,1535787300000,0.0
12872.0,45.0,2290.0,18552.0,388.0,185.0,264.0,132801.0,10905.0,1416454.0,50724.0,13542.0,1535787600000,0.0
13329.0,54.0,2292.0,17935.0,358.0,184.0,646.0,111598.0,11341.0,1450362.0,51095.0,14059.0,1535787900000,0.0
13306.0,49.0,2398.0,18052.0,287.0,178.0,242.0,169652.0,11114.0,1426343.0,54387.0,15697.0,1535788200000,0.0
13069.0,38.0,2527.0,18594.0,320.0,170.0,318.0,113915.0,11377.0,1448715.0,53946.0,17419.0,1535788500000,3.0
13245.0,39.0,2177.0,18376.0,317.0,135.0,483.0,137899.0,11632.0,1482273.0,60930.0,16373.0,1535788800000,64.0
13076.0,37.0,2258.0,18378.0,303.0,149.0,1171.0,153938.0,11163.0,1404759.0,58433.0,15242.0,1535789100000,1.0
12932.0,43.0,2151.0,18372.0,301.0,198.0,461.0,124837.0,11040.0,1400487.0,59518.0,21520.0,1535789400000,0.0
13346.0,45.0,2290.0,18685.0,314.0,134.0,446.0,121269.0,11219.0,1413038.0,67551.0,17530.0,1535789700000,0.0
12695.0,38.0,2223.0,17935.0,302.0,151.0,197.0,126122.0,10516.0,1408784.0,55665.0,16213.0,1535790000000,0.0
12541.0,31.0,2430.0,17393.0,288.0,186.0,152.0,138887.0,10977.0,1394759.0,43975.0,15141.0,1535790300000,0.0
12900.0,31.0,2373.0,19858.0,329.0,191.0,107.0,150716.0,11211.0,1383566.0,45221.0,13074.0,1535790600000,0.0
13389.0,46.0,2009.0,19737.0,351.0,218.0,114.0,145984.0,11741.0,1374117.0,47362.0,13927.0,1535790900000,0.0
12691.0,40.0,2462.0,19783.0,291.0,151.0,75.0,182320.0,10715.0,1388169.0,49648.0,14462.0,1535791200000,0.0
12812.0,39.0,2336.0,19207.0,308.0,215.0,74.0,146544.0,11070.0,1396005.0,54777.0,13625.0,1535791500000,0.0
12761.0,35.0,2326.0,18262.0,375.0,217.0,80.0,130050.0,11252.0,1407402.0,57247.0,15502.0,1535791800000,0.0
12414.0,35.0,2242.0,18465.0,391.0,193.0,68.0,119451.0,11101.0,1383474.0,66776.0,14056.0,1535792100000,2.0
13949.0,43.0,2070.0,20927.0,387.0,126.0,484.0,120132.0,12094.0,1385777.0,65218.0,16037.0,1535792400000,18.0
13474.0,34.0,2131.0,19589.0,363.0,204.0,479.0,138317.0,11494.0,1386149.0,64404.0,15027.0,1535792700000,0.0
14118.0,44.0,2441.0,18294.0,348.0,140.0,437.0,155537.0,11526.0,1399744.0,65342.0,15298.0,1535793000000,0.0
13490.0,41.0,2226.0,19191.0,336.0,72.0,441.0,108322.0,11294.0,1378210.0,64403.0,13073.0,1535793300000,0.0
12841.0,37.0,2416.0,19927.0,397.0,139.0,479.0,140274.0,12874.0,1363374.0,65729.0,14362.0,1535793600000,0.0
12302.0,45.0,2159.0,17612.0,372.0,79.0,339.0,149433.0,10610.0,1360681.0,56675.0,14608.0,1535793900000,0.0
