i01,i02,i03,i05,i06,i07,i08,i09,i12,i13,i136,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i34,i35,i36,i37,i38,i39,i41,i42,i43,i44,i45,i46,i47,i48,i49,i57,i61,i65,i66,i67,i72,i74,i75,i76,i77,i79,i80,i81,i87,i88,i89,i97,timestamp,unknown,i04,i100,i101,i102,i111,i147,i59,i63,i68,i70,i82,i95,i96,i10,i104,i107,i11,i130,i132,i33,i50,i54,i64,i73,i83,i90,i53,i99,i123,i40,i52,i51,i71,i86,i91,i106,i125,i94,i98,i112,i78,i121,i117,i141,i103,i133,i84,i114,i120,i134,i109,i129,i105,i144,i122,i85,i118,i116,i108,i115,i119,i58,i131,i110,i113,i56,i139,i62,i127,i142,i135,i126,i145
39.0,2913.0,74.0,444.0,484262.0,38.0,0.0,5.0,228.0,122.0,0.0,4487.0,137.0,238.0,1323.0,22.0,9.0,4.0,18.0,11.0,33.0,0.0,7.0,22.0,9.0,0.0,24.0,113.0,42.0,8.0,1169.0,0.0,1.0,0.0,203339.0,125.0,26.0,132.0,35.0,5.0,3.0,26213.0,594.0,19.0,188.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1535734500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,2015.0,76.0,591.0,466151.0,91.0,0.0,6.0,176.0,88.0,0.0,5246.0,123.0,248.0,1232.0,16.0,0.0,3.0,15.0,4.0,103.0,0.0,8.0,12.0,1.0,0.0,16.0,114.0,94.0,37.0,1215.0,0.0,1.0,10.0,201239.0,76.0,31.0,113.0,76.0,1.0,5.0,21830.0,638.0,20.0,165.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1535734800000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,2502.0,104.0,652.0,434840.0,88.0,0.0,8.0,149.0,84.0,0.0,8212.0,121.0,246.0,1039.0,11.0,8.0,9.0,35.0,23.0,48.0,0.0,1.0,11.0,3.0,0.0,19.0,73.0,52.0,12.0,1217.0,0.0,2.0,3.0,182953.0,95.0,7.0,115.0,8.0,0.0,5.0,22286.0,709.0,14.0,47.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1535735100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2215.0,52.0,550.0,409716.0,151.0,0.0,18.0,171.0,64.0,3.0,7612.0,101.0,260.0,976.0,46.0,11.0,8.0,26.0,12.0,29.0,5.0,3.0,28.0,18.0,0.0,27.0,79.0,115.0,17.0,786.0,0.0,0.0,19.0,170839.0,140.0,59.0,104.0,19.0,0.0,6.0,21666.0,592.0,22.0,271.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,1535735400000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,2020.0,168.0,493.0,402474.0,192.0,0.0,12.0,158.0,41.0,1.0,5617.0,96.0,222.0,1056.0,15.0,0.0,3.0,9.0,9.0,41.0,0.0,7.0,3.0,9.0,0.0,17.0,82.0,44.0,169.0,780.0,0.0,7.0,20.0,157948.0,61.0,26.0,91.0,38.0,0.0,7.0,21564.0,530.0,12.0,442.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1535735700000,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,2300.0,26.0,351.0,383264.0,129.0,0.0,10.0,158.0,65.0,0.0,5349.0,126.0,217.0,1005.0,17.0,198.0,2.0,27.0,13.0,34.0,2.0,1.0,14.0,6.0,350.0,44.0,100.0,33.0,192.0,1166.0,0.0,15.0,0.0,145003.0,75.0,18.0,107.0,14.0,0.0,3.0,22759.0,437.0,21.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,1535736000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,2556.0,35.0,297.0,361377.0,203.0,0.0,7.0,190.0,75.0,0.0,5943.0,89.0,254.0,925.0,16.0,30.0,1.0,46.0,5.0,29.0,0.0,3.0,14.0,0.0,0.0,25.0,93.0,14.0,142.0,757.0,0.0,12.0,0.0,141055.0,102.0,14.0,100.0,32.0,0.0,68.0,20317.0,577.0,12.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1535736300000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,2428.0,33.0,250.0,357659.0,285.0,0.0,5.0,154.0,54.0,0.0,5019.0,106.0,194.0,932.0,10.0,9.0,15.0,94.0,10.0,28.0,0.0,5.0,19.0,3.0,0.0,24.0,108.0,10.0,213.0,908.0,0.0,7.0,0.0,141995.0,87.0,5.0,99.0,45.0,0.0,4.0,22040.0,491.0,15.0,131.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1535736600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2276.0,25.0,258.0,323815.0,211.0,0.0,6.0,143.0,60.0,0.0,5617.0,93.0,189.0,865.0,4.0,3.0,2.0,25.0,8.0,38.0,5.0,0.0,5.0,69.0,0.0,24.0,120.0,9.0,3.0,781.0,0.0,3.0,0.0,131633.0,73.0,9.0,90.0,44.0,0.0,4.0,15296.0,501.0,8.0,360.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535736900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,2240.0,39.0,216.0,312756.0,65.0,0.0,6.0,179.0,88.0,0.0,4991.0,52.0,215.0,994.0,15.0,0.0,2.0,35.0,3.0,17.0,5.0,10.0,9.0,16.0,0.0,17.0,89.0,8.0,0.0,681.0,0.0,5.0,0.0,121069.0,55.0,20.0,91.0,17.0,0.0,7.0,15401.0,405.0,8.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1535737200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,1983.0,47.0,349.0,291189.0,84.0,0.0,4.0,143.0,50.0,0.0,4632.0,171.0,230.0,957.0,12.0,4.0,2.0,27.0,3.0,29.0,1.0,9.0,13.0,17.0,0.0,11.0,70.0,29.0,4.0,511.0,0.0,0.0,0.0,108280.0,40.0,1.0,89.0,0.0,0.0,3.0,14084.0,632.0,15.0,96.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1535737500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,1862.0,23.0,226.0,266703.0,66.0,0.0,4.0,177.0,120.0,0.0,5861.0,49.0,218.0,949.0,3.0,6.0,6.0,30.0,6.0,87.0,5.0,6.0,8.0,3.0,0.0,18.0,113.0,57.0,0.0,497.0,0.0,0.0,0.0,101499.0,49.0,17.0,103.0,5.0,0.0,6.0,13524.0,594.0,10.0,197.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1535737800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
