timestamp,i01,i02,i03,i05,i06,i07,i08,i09,i12,i13,i136,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i34,i35,i36,i37,i38,i39,i41,i42,i43,i44,i45,i46,i47,i48,i49,i57,i61,i65,i66,i67,i72,i74,i75,i76,i77,i79,i80,i81,i87,i88,i89,i97,unknown,i04,i100,i101,i102,i111,i147,i59,i63,i68,i70,i82,i95,i96,i10,i104,i107,i11,i130,i132,i33,i50,i54,i64,i73,i83,i90,i53,i99,i123,i40,i52,i51,i71,i86,i91,i106,i125,i94,i98,i112,i78,i121,i117,i141,i103,i133,i84,i114,i120,i134,i109,i129,i105,i144,i122,i85,i118,i116,i140,i108,i115,i119,i58,i131,i110,i113,i56,i139,i93,i62,i128,i127,i142,i135,i126,i145,i138,i01_prediction,i02_prediction,i03_prediction,i05_prediction,i06_prediction,i07_prediction,i08_prediction,i09_prediction,i12_prediction,i13_prediction,i136_prediction,i14_prediction,i15_prediction,i16_prediction,i17_prediction,i18_prediction,i19_prediction,i20_prediction,i21_prediction,i22_prediction,i23_prediction,i24_prediction,i25_prediction,i26_prediction,i27_prediction,i28_prediction,i29_prediction,i30_prediction,i31_prediction,i32_prediction,i34_prediction,i35_prediction,i36_prediction,i37_prediction,i38_prediction,i39_prediction,i41_prediction,i42_prediction,i43_prediction,i44_prediction,i45_prediction,i46_prediction,i47_prediction,i48_prediction,i49_prediction,i57_prediction,i61_prediction,i65_prediction,i66_prediction,i67_prediction,i72_prediction,i74_prediction,i75_prediction,i76_prediction,i77_prediction,i79_prediction,i80_prediction,i81_prediction,i87_prediction,i88_prediction,i89_prediction,i97_prediction,unknown_prediction,i04_prediction,i100_prediction,i101_prediction,i102_prediction,i111_prediction,i147_prediction,i59_prediction,i63_prediction,i68_prediction,i70_prediction,i82_prediction,i95_prediction,i96_prediction,i10_prediction,i104_prediction,i107_prediction,i11_prediction,i130_prediction,i132_prediction,i33_prediction,i50_prediction,i54_prediction,i64_prediction,i73_prediction,i83_prediction,i90_prediction,i53_prediction,i99_prediction,i123_prediction,i40_prediction,i52_prediction,i51_prediction,i71_prediction,i86_prediction,i91_prediction,i106_prediction,i125_prediction,i94_prediction,i98_prediction,i112_prediction,i78_prediction,i121_prediction,i117_prediction,i141_prediction,i103_prediction,i133_prediction,i84_prediction,i114_prediction,i120_prediction,i134_prediction,i109_prediction,i129_prediction,i105_prediction,i144_prediction,i122_prediction,i85_prediction,i118_prediction,i116_prediction,i140_prediction,i108_prediction,i115_prediction,i119_prediction,i58_prediction,i131_prediction,i110_prediction,i113_prediction,i56_prediction,i139_prediction,i93_prediction,i62_prediction,i128_prediction,i127_prediction,i142_prediction,i135_prediction,i126_prediction,i145_prediction,i138_prediction
1536082500000,22.0,2421.0,140.0,241.0,220293.0,39.0,,10.0,189.0,69.0,,489.0,83.0,221.0,779.0,26.0,34.0,2.0,13.0,7.0,36.0,,15.0,4.0,,1457.0,7.0,38.0,40.0,,604.0,,2.0,,98657.0,64.0,47.0,50.0,13.0,11.0,,8339.0,506.0,10.0,62.0,,,,2.0,,,5.0,,,,,,,,,10.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2682.0,51.0,272.0,275831.0,39.0,,3.0,156.0,75.0,,469.0,103.0,128.0,779.0,26.0,34.0,2.0,13.0,7.0,48.0,,15.0,4.0,,1457.0,7.0,25.0,40.0,,667.0,,2.0,,98657.0,64.0,1.0,50.0,13.0,39.0,,10765.0,700.0,22.0,1.0,,,,2.0,,,5.0,,,,,,,,,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536082800000,85.0,2192.0,51.0,295.0,214339.0,21.0,,9.0,162.0,87.0,,461.0,178.0,241.0,753.0,13.0,34.0,1.0,20.0,4.0,70.0,,13.0,10.0,,3576.0,4.0,20.0,54.0,2.0,667.0,,,,95846.0,71.0,1.0,51.0,37.0,17.0,3.0,7930.0,480.0,24.0,,1.0,,,1.0,,,7.0,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,2421.0,51.0,417.0,275831.0,21.0,,3.0,167.0,87.0,,461.0,83.0,128.0,779.0,26.0,34.0,1.0,20.0,4.0,48.0,,13.0,4.0,,3576.0,4.0,25.0,40.0,2.0,667.0,,,,65008.0,64.0,1.0,51.0,13.0,6.0,3.0,10765.0,480.0,24.0,,1.0,,,1.0,,,7.0,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536083100000,9.0,2300.0,31.0,417.0,199452.0,27.0,,6.0,167.0,64.0,,461.0,94.0,175.0,612.0,2.0,34.0,1.0,8.0,10.0,48.0,,15.0,12.0,,972.0,1.0,13.0,17.0,1.0,710.0,,7.0,,90281.0,67.0,4.0,60.0,12.0,65.0,,7624.0,461.0,16.0,40.0,,,,3.0,,,4.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2300.0,31.0,417.0,275831.0,27.0,,6.0,167.0,64.0,,461.0,169.0,175.0,779.0,2.0,34.0,1.0,8.0,4.0,48.0,,15.0,12.0,,972.0,1.0,25.0,17.0,2.0,710.0,,1.0,,65008.0,74.0,1.0,60.0,12.0,6.0,,10765.0,370.0,16.0,40.0,,,,1.0,,,4.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536083400000,15.0,2255.0,21.0,184.0,186208.0,50.0,,9.0,205.0,120.0,,374.0,169.0,213.0,556.0,1.0,33.0,4.0,2.0,4.0,53.0,,13.0,6.0,,,3.0,31.0,15.0,,637.0,,1.0,33.0,82327.0,74.0,9.0,29.0,18.0,65.0,,5609.0,370.0,9.0,74.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2255.0,21.0,417.0,275831.0,50.0,,9.0,205.0,120.0,,461.0,169.0,175.0,779.0,2.0,34.0,4.0,8.0,4.0,48.0,,13.0,6.0,,,1.0,31.0,17.0,,637.0,,1.0,33.0,65008.0,74.0,1.0,29.0,18.0,6.0,,10765.0,370.0,9.0,74.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536083700000,17.0,2198.0,23.0,145.0,173006.0,49.0,,3.0,163.0,89.0,,497.0,64.0,187.0,516.0,2.0,39.0,,6.0,9.0,25.0,,15.0,15.0,,2291.0,2.0,13.0,7.0,9.0,527.0,,1.0,,78244.0,57.0,3.0,20.0,8.0,6.0,2.0,5802.0,410.0,7.0,,,,1.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2198.0,23.0,145.0,275831.0,49.0,,3.0,163.0,89.0,,497.0,64.0,172.0,779.0,2.0,39.0,,6.0,9.0,17.0,,15.0,6.0,,2291.0,5.0,13.0,7.0,2.0,527.0,,2.0,,65008.0,57.0,1.0,20.0,8.0,6.0,2.0,10765.0,410.0,7.0,,,,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536084000000,19.0,1994.0,25.0,175.0,174159.0,82.0,,6.0,216.0,167.0,,830.0,146.0,172.0,640.0,2.0,42.0,4.0,3.0,9.0,35.0,,15.0,11.0,,,5.0,29.0,35.0,,447.0,,2.0,45.0,72843.0,55.0,13.0,26.0,3.0,,3.0,5949.0,493.0,15.0,,1.0,,,1.0,,,,,,,,4.0,1.0,,,4.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1994.0,25.0,175.0,275831.0,82.0,,3.0,216.0,167.0,,830.0,146.0,172.0,779.0,2.0,42.0,4.0,3.0,9.0,17.0,,15.0,6.0,,,5.0,13.0,35.0,,527.0,,2.0,45.0,72843.0,55.0,1.0,20.0,3.0,,1.0,5949.0,493.0,15.0,,1.0,,,1.0,,,,,,,,1.0,1.0,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536084300000,28.0,1779.0,25.0,134.0,157568.0,18.0,,15.0,221.0,172.0,,728.0,128.0,182.0,658.0,,39.0,2.0,9.0,7.0,18.0,,12.0,3.0,,,4.0,27.0,28.0,,573.0,,1.0,,68009.0,71.0,1.0,24.0,4.0,,1.0,3816.0,443.0,,,,,,2.0,,,3.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1779.0,25.0,175.0,275831.0,18.0,,4.0,216.0,172.0,,728.0,128.0,172.0,658.0,,39.0,2.0,9.0,9.0,17.0,,12.0,6.0,,,4.0,27.0,28.0,,308.0,,2.0,,68009.0,55.0,1.0,24.0,4.0,,1.0,5949.0,443.0,,,,,,1.0,,,4.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536084600000,2.0,1887.0,44.0,276.0,156657.0,66.0,,4.0,214.0,186.0,,659.0,134.0,224.0,705.0,12.0,37.0,4.0,6.0,8.0,62.0,,29.0,6.0,,,8.0,35.0,9.0,,449.0,,,,65208.0,79.0,48.0,16.0,6.0,3.0,1.0,4443.0,305.0,8.0,,,,,1.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1887.0,44.0,276.0,275831.0,66.0,,4.0,208.0,186.0,,659.0,128.0,172.0,705.0,1.0,37.0,2.0,9.0,8.0,17.0,,29.0,6.0,,,8.0,27.0,9.0,,449.0,,,,68009.0,71.0,3.0,16.0,6.0,3.0,1.0,5665.0,398.0,8.0,,,,,1.0,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536084900000,28.0,1901.0,29.0,180.0,145150.0,60.0,,4.0,208.0,86.0,,675.0,84.0,186.0,703.0,5.0,34.0,7.0,,3.0,56.0,,14.0,2.0,,,6.0,33.0,19.0,,402.0,,,,62956.0,67.0,3.0,16.0,5.0,5.0,,5665.0,398.0,1.0,52.0,,,,2.0,,,,,,,,1.0,,,2.0,4.0,,5.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1641.0,29.0,276.0,275831.0,60.0,,4.0,208.0,86.0,,675.0,84.0,172.0,710.0,5.0,34.0,3.0,,3.0,17.0,,14.0,2.0,,,8.0,35.0,9.0,,402.0,,,,58015.0,67.0,3.0,16.0,5.0,5.0,,5665.0,398.0,1.0,58.0,,,,1.0,,,,,,,,1.0,,,2.0,4.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536085200000,7.0,1723.0,22.0,159.0,143701.0,40.0,,5.0,212.0,24.0,,660.0,107.0,214.0,699.0,6.0,34.0,3.0,10.0,5.0,28.0,,15.0,7.0,,,2.0,25.0,36.0,2.0,308.0,,30.0,,65008.0,73.0,,19.0,5.0,44.0,,6623.0,355.0,13.0,31.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,5.0,,,,,,2.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1641.0,22.0,276.0,275831.0,40.0,,4.0,212.0,86.0,,660.0,84.0,172.0,710.0,5.0,34.0,3.0,10.0,3.0,17.0,,15.0,7.0,,,2.0,25.0,36.0,2.0,308.0,,2.0,,58015.0,73.0,,19.0,5.0,5.0,,6623.0,398.0,13.0,60.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,5.0,,,,,,2.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536085500000,10.0,1807.0,12.0,189.0,142268.0,162.0,,2.0,193.0,58.0,,2779.0,84.0,180.0,700.0,1.0,42.0,1.0,5.0,4.0,21.0,,16.0,2.0,,,2.0,47.0,5.0,17.0,383.0,,2.0,,58015.0,61.0,,15.0,,30.0,2.0,6678.0,401.0,17.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1641.0,12.0,276.0,275831.0,162.0,,2.0,193.0,58.0,,2779.0,84.0,172.0,710.0,1.0,34.0,3.0,5.0,4.0,17.0,,16.0,7.0,,,2.0,33.0,5.0,2.0,308.0,,2.0,,58015.0,73.0,,19.0,,30.0,1.0,6678.0,398.0,13.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536085800000,3.0,1641.0,17.0,156.0,130781.0,73.0,,2.0,197.0,120.0,,743.0,137.0,231.0,710.0,,69.0,15.0,7.0,4.0,17.0,,15.0,14.0,,,1.0,19.0,4.0,,411.0,,,,58402.0,61.0,,17.0,3.0,44.0,,5084.0,348.0,19.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1641.0,17.0,276.0,275831.0,10.0,,2.0,197.0,120.0,,743.0,67.0,172.0,710.0,,69.0,4.0,5.0,4.0,17.0,,15.0,4.0,,,4.0,19.0,4.0,,411.0,,,,58402.0,54.0,,19.0,3.0,5.0,,5084.0,398.0,19.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536086100000,3.0,1670.0,27.0,144.0,127792.0,10.0,,7.0,152.0,57.0,,744.0,67.0,220.0,627.0,,34.0,4.0,3.0,1.0,24.0,,13.0,4.0,,,4.0,24.0,6.0,,435.0,,,,50920.0,54.0,,19.0,2.0,5.0,,4259.0,295.0,4.0,,,,,1.0,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1807.0,27.0,144.0,275831.0,10.0,,7.0,152.0,57.0,,1272.0,67.0,172.0,710.0,,34.0,4.0,3.0,4.0,17.0,,13.0,4.0,,,4.0,19.0,6.0,,356.0,,,,48494.0,54.0,,19.0,2.0,5.0,,4259.0,398.0,4.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536086400000,21.0,1925.0,17.0,105.0,120685.0,20.0,,2.0,171.0,156.0,,722.0,98.0,263.0,639.0,1.0,39.0,2.0,3.0,4.0,40.0,,15.0,9.0,2.0,,14.0,22.0,2.0,7.0,357.0,,2.0,,48477.0,65.0,,19.0,3.0,57.0,1.0,5340.0,349.0,11.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1860.0,17.0,105.0,275831.0,20.0,,7.0,171.0,57.0,,1272.0,98.0,172.0,639.0,1.0,39.0,2.0,3.0,4.0,17.0,,15.0,4.0,2.0,,4.0,22.0,6.0,2.0,356.0,,2.0,,48494.0,65.0,,19.0,3.0,5.0,1.0,4259.0,349.0,4.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536086700000,6.0,1860.0,14.0,132.0,113686.0,13.0,,10.0,178.0,152.0,,773.0,107.0,215.0,663.0,,39.0,3.0,5.0,2.0,38.0,,9.0,7.0,,,3.0,27.0,,2.0,356.0,,,,48494.0,50.0,,23.0,1.0,5.0,2.0,4714.0,346.0,11.0,,,,,3.0,,,6.0,,,,,1.0,,,,,,,23.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1860.0,14.0,105.0,275831.0,20.0,,10.0,178.0,152.0,,1272.0,103.0,172.0,663.0,,39.0,2.0,3.0,4.0,17.0,,9.0,4.0,,,4.0,22.0,,2.0,356.0,,,,48494.0,50.0,,23.0,1.0,5.0,2.0,3702.0,398.0,11.0,,,,,1.0,,,6.0,,,,,1.0,,,,,,,23.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536087000000,4.0,1871.0,12.0,128.0,116328.0,14.0,,6.0,166.0,107.0,,672.0,103.0,255.0,787.0,,45.0,2.0,1.0,9.0,15.0,,,4.0,,,5.0,19.0,3.0,,291.0,,,,46397.0,57.0,,20.0,6.0,5.0,1.0,3702.0,398.0,15.0,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1860.0,12.0,105.0,275831.0,13.0,,6.0,178.0,107.0,,672.0,103.0,172.0,663.0,,39.0,2.0,1.0,4.0,17.0,,,4.0,,,5.0,19.0,3.0,,435.0,,,,46397.0,57.0,,20.0,1.0,5.0,1.0,3702.0,398.0,15.0,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536087300000,9.0,1865.0,54.0,142.0,109651.0,34.0,,8.0,153.0,178.0,,642.0,48.0,236.0,739.0,,35.0,,2.0,3.0,19.0,,,20.0,,,3.0,25.0,3.0,,352.0,,,61.0,45846.0,58.0,,19.0,3.0,5.0,,2936.0,338.0,16.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1860.0,12.0,105.0,275831.0,34.0,,8.0,178.0,178.0,,642.0,48.0,172.0,739.0,,35.0,,1.0,4.0,17.0,,,2.0,,,5.0,25.0,3.0,,435.0,,,5.0,46397.0,58.0,,19.0,3.0,5.0,,2936.0,338.0,16.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536087600000,14.0,1699.0,38.0,76.0,108016.0,19.0,,6.0,187.0,35.0,,1272.0,109.0,226.0,800.0,1.0,35.0,11.0,12.0,7.0,30.0,,6.0,2.0,,,5.0,25.0,1.0,2.0,435.0,,,5.0,44440.0,87.0,,14.0,2.0,5.0,1.0,3640.0,263.0,9.0,,1.0,,,2.0,,,,,,,,1.0,,,,7.0,,2.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1860.0,38.0,105.0,275831.0,34.0,,6.0,205.0,178.0,,642.0,109.0,172.0,739.0,1.0,35.0,11.0,2.0,4.0,17.0,,6.0,2.0,,,5.0,25.0,3.0,2.0,435.0,,,5.0,44440.0,87.0,,19.0,2.0,5.0,1.0,3640.0,323.0,9.0,,1.0,,,2.0,,,,,,,,1.0,,,,2.0,,2.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536087900000,5.0,1705.0,16.0,124.0,112656.0,60.0,,,205.0,50.0,,2266.0,109.0,206.0,736.0,,39.0,1.0,3.0,5.0,17.0,,3.0,11.0,,,4.0,9.0,4.0,,463.0,,1.0,,41710.0,59.0,3.0,11.0,20.0,57.0,1.0,4799.0,229.0,13.0,29.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1860.0,16.0,105.0,275831.0,22.0,,,205.0,50.0,,2266.0,109.0,172.0,736.0,,39.0,2.0,2.0,4.0,17.0,,3.0,2.0,,,4.0,25.0,4.0,,463.0,,1.0,,41710.0,59.0,3.0,11.0,2.0,57.0,1.0,3432.0,323.0,13.0,29.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536088200000,6.0,1575.0,14.0,148.0,104644.0,22.0,,4.0,163.0,90.0,,1262.0,74.0,258.0,695.0,,36.0,4.0,2.0,12.0,19.0,,8.0,8.0,,164.0,5.0,31.0,4.0,,404.0,,3.0,,38642.0,63.0,5.0,11.0,2.0,55.0,2.0,3432.0,323.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1860.0,14.0,105.0,275831.0,22.0,,1.0,163.0,50.0,,1262.0,74.0,172.0,695.0,,36.0,2.0,2.0,4.0,17.0,,8.0,2.0,,164.0,4.0,31.0,4.0,,463.0,,3.0,,41710.0,63.0,5.0,11.0,2.0,57.0,1.0,3432.0,323.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536088500000,8.0,1859.0,12.0,183.0,100665.0,12.0,,,155.0,49.0,,650.0,63.0,247.0,617.0,11.0,35.0,4.0,9.0,4.0,23.0,,3.0,3.0,,,,15.0,15.0,2.0,364.0,,3.0,,39829.0,60.0,2.0,15.0,4.0,,2.0,3367.0,216.0,2.0,58.0,,,,1.0,,,3.0,,,,,1.0,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1859.0,12.0,183.0,275831.0,12.0,,,163.0,49.0,,1262.0,63.0,172.0,617.0,1.0,35.0,4.0,2.0,4.0,17.0,,3.0,2.0,,,,31.0,15.0,2.0,463.0,,3.0,,41710.0,60.0,7.0,15.0,4.0,,2.0,3367.0,323.0,2.0,58.0,,,,1.0,,,3.0,,,,,1.0,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536088800000,7.0,1619.0,13.0,153.0,108845.0,5.0,,1.0,146.0,26.0,,659.0,76.0,249.0,705.0,1.0,33.0,6.0,2.0,4.0,21.0,,7.0,2.0,,,2.0,36.0,2.0,18.0,289.0,,4.0,,38850.0,68.0,,10.0,34.0,,,4753.0,244.0,5.0,52.0,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1619.0,13.0,183.0,275831.0,5.0,,1.0,146.0,26.0,,659.0,76.0,172.0,705.0,1.0,35.0,2.0,16.0,4.0,17.0,,3.0,2.0,,,2.0,25.0,2.0,2.0,367.0,,2.0,,41710.0,60.0,,10.0,34.0,,,3367.0,323.0,2.0,52.0,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536089100000,18.0,1629.0,18.0,105.0,104493.0,2.0,,,168.0,56.0,,624.0,56.0,260.0,678.0,3.0,37.0,2.0,16.0,2.0,15.0,,3.0,5.0,,,4.0,22.0,,5.0,351.0,,,,38387.0,58.0,7.0,12.0,1.0,1.0,13.0,4011.0,248.0,2.0,7.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1629.0,18.0,105.0,275831.0,2.0,,,168.0,56.0,,624.0,109.0,172.0,678.0,3.0,34.0,2.0,16.0,4.0,17.0,,7.0,2.0,,,4.0,25.0,,5.0,367.0,,,,38387.0,58.0,7.0,10.0,1.0,25.0,1.0,4011.0,323.0,2.0,52.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
