i15,e04,c2,p35,l3,1789
i06,e10,c5,p04,l1,48
i06,e10,c5,p18,l1,48
i38,e10,c4,p12,l3,172
i38,e11,c1,p21,l2,229
i06,e10,c3,p02,l3,28
i34,e08,c5,p08,l3,1
i38,e01,c1,p29,l3,24
i39,e09,c5,p11,l3,7
i06,e11,c5,p30,l2,31
i38,e10,c4,p25,l3,28
i38,e10,c1,unknown,l3,173
i38,e09,c1,p02,l2,9
i23,e03,c5,p01,l3,8
i03,e10,c5,p05,l3,2
i38,e10,c7,p32,l4,24
i38,e08,c1,p08,l2,25
i34,e03,c5,p24,l3,49
i61,e08,c1,p35,l3,5
i05,e06,c1,p29,l3,4
i30,e01,c1,p15,l3,5
i34,e09,c5,p14,l3,3
i38,e09,c4,p03,l2,2
i41,e01,c1,p10,l3,30
i39,e01,c5,p16,l3,15
i01,e11,c1,p03,l3,2
i38,e10,c4,p11,l4,10
i39,e01,c5,p06,l3,1
i46,e01,c1,p02,l3,2
i17,e09,c5,p14,l3,10
i06,e01,c5,p28,l3,13
i16,e11,c5,p13,l3,1
i13,e03,c5,p07,l3,1
i41,e01,c1,p25,l3,5
i27,e01,c5,p10,l3,5
i06,e07,c5,p17,l2,2
i06,e01,c3,p12,l3,1
i67,e04,c5,p05,l3,2
i23,e12,c5,p16,l3,1
i06,e10,c3,p12,l4,3
i14,e09,c5,p20,l3,4
i17,e08,c5,p17,l3,9
i14,e01,c5,p19,l3,2
i38,e10,c1,unknown,l4,12
i06,e08,c3,p22,l2,1
i06,e05,c5,p13,l1,3
i02,e05,c1,p11,l3,1
i02,e11,c1,p21,l3,1
i17,e09,c5,p08,l3,1
i02,e11,c1,p17,l3,1
i19,e04,c5,p35,l3,2
i46,e09,c1,p08,l3,1
i46,e08,c4,p04,l3,1
i02,e01,c1,p23,l3,49
i06,e08,c5,p09,l2,968
i02,e09,c1,p29,l3,31
i02,e08,c1,p22,l3,122
i38,e10,c1,p10,l1,149
i16,e08,c5,p10,l3,134
i39,e04,c5,p04,l3,42
i16,e01,c5,p22,l3,6
i46,e08,c1,p10,l3,3
i39,e09,c5,p35,l3,206
i63,e10,c1,p35,l4,44
i38,e10,c4,p17,l3,316
i21,e12,c1,p24,l3,1
i38,e06,c1,p31,l3,16
i38,e10,c1,p26,l3,302
i34,e01,c5,p10,l3,47
i38,e06,c4,p17,l3,42
i03,e09,c5,p04,l3,5
i38,e10,c4,p23,l3,72
i42,e05,c3,p01,l3,2
i02,e09,c1,p28,l3,29
i38,e10,c1,p11,l1,36
i63,e10,c1,p10,l3,161
i38,e10,c7,p32,l3,10
i38,e10,c1,p30,l3,18
i02,e08,c1,p31,l3,8
i43,e09,c1,p19,l3,12
i14,e11,c5,p08,l3,1
i38,e11,c4,p24,l2,1
i03,e04,c5,p24,l3,2
i38,e12,c1,p07,l3,8
i03,e01,c5,p23,l3,2
i34,e08,c5,p35,l3,8
i34,e04,c5,p35,l3,24
i07,e08,c5,p10,l3,5
i16,e08,c5,p12,l3,13
i43,e09,c1,p03,l3,8
i14,e08,c3,p07,l3,1
i14,e08,c5,p29,l3,5
i03,e01,c5,p05,l3,1
i30,e09,c1,p24,l3,6
i27,e04,c5,p29,l3,5
i34,e08,c5,p18,l3,8
i41,e04,c1,p13,l3,3
i16,e04,c5,p25,l3,2
i05,e09,c1,p17,l3,5
i13,e11,c5,p14,l3,3
i41,e12,c1,p35,l3,2
i06,e12,c3,p19,l3,4
i43,e04,c1,p21,l3,6
i05,e08,c1,p20,l3,2
i07,e12,c5,p18,l3,5
i30,e01,c1,p03,l3,1
i38,e07,c1,p18,l2,1
i34,e01,c5,p24,l3,3
i06,e11,c3,p18,l2,1
i38,e08,c4,p18,l2,1
i23,e01,c5,p04,l3,1
i25,e12,c5,p12,l3,1
i14,e08,c5,p33,l3,2
i05,e03,c1,p22,l3,1
i43,e03,c1,p19,l3,1
i14,e11,c5,p13,l3,1
i42,e05,c5,p16,l3,1
i17,e04,c3,p05,l3,1
i06,e10,c5,p05,l3,56354
i06,e09,c5,p21,l2,141
i38,e06,c1,p10,l3,3190
i06,e09,c5,p16,l2,44
i02,e04,c1,p22,l3,71
i34,e03,c5,p22,l3,26
i06,e01,c5,p22,l3,47
i06,e10,c5,p28,l4,668
i34,e08,c5,p19,l3,120
i06,e12,c5,p04,l3,199
i13,e08,c5,p10,l3,219
i06,e10,c3,p21,l3,255
i38,e01,c1,p09,l3,29
i38,e11,c1,p03,l2,323
i38,e06,c4,p09,l3,13
i38,e10,c4,p15,l4,43
i38,e10,c1,p31,l4,74
i38,e12,c1,p18,l3,569
i19,e10,c5,p10,l4,175
i02,e01,c1,p07,l3,120
i38,e04,c1,p05,l1,54
i05,e01,c1,p35,l3,29
i39,e01,c5,p13,l3,17
i06,e11,c5,p08,l2,161
i43,e04,c1,p03,l3,32
i02,e09,c1,p04,l3,54
i38,e10,c1,unknown,l4,5
i43,e12,c1,p03,l3,10
i05,e01,c1,p05,l3,3
i46,e08,c1,p02,l3,88
i02,e11,c1,p13,l3,2
i39,e01,c5,p12,l3,8
i38,e08,c4,p06,l2,9
i16,e01,c5,p21,l3,4
i41,e08,c1,p12,l3,9
i79,e07,c1,p24,l3,4
i05,e12,c1,p04,l3,3
i03,e04,c5,p05,l3,9
i14,e09,c5,p21,l3,8
i16,e04,c5,p01,l3,12
i07,e08,c5,p19,l3,2
i34,e01,c5,p29,l3,5
i03,e01,c5,p04,l3,1
i34,e04,c5,p13,l3,3
i06,e11,c3,p35,l2,5
i30,e09,c1,p05,l3,1
i41,e11,c1,p20,l3,4
i23,e09,c5,p13,l3,2
i84,e04,c1,p35,l3,3
i14,e01,c5,p15,l3,1
i06,e07,c5,p13,l2,1
i38,e05,c1,p32,l1,1
i66,e04,c3,p10,l3,3
i27,e04,c5,p19,l3,1
i14,e11,c5,p02,l3,2
i38,e05,c1,p13,l1,2
i01,e08,c1,p07,l3,1
i14,e08,c5,p08,l3,2
i39,e09,c5,p28,l3,1
i09,e01,c5,p17,l3,1
i21,e12,c1,p02,l3,1
i01,e08,c1,p09,l3,2
i12,e08,c5,p18,l3,1
i05,e08,c1,p24,l3,1
i21,e03,c1,p29,l3,1
i06,e10,c5,p28,l3,9205
i13,e08,c5,p18,l3,7
i06,e08,c5,p06,l2,1579
i06,e10,c5,p32,l3,9020
i38,e10,c1,p15,l3,14423
i06,e10,c5,p02,l3,16514
i06,e10,c5,p21,l4,3083
i34,e01,c5,p19,l3,23
i06,e08,c5,p31,l2,111
i17,e04,c5,p08,l3,115
i14,e08,c5,p25,l3,13
i16,e08,c5,p22,l3,2
i06,e10,c5,p17,l4,2106
i02,e09,c1,p17,l3,74
i02,e08,c1,p01,l3,329
i06,e01,c5,p21,l3,135
i39,e09,c5,p17,l3,24
i06,e09,c5,p32,l2,47
i41,e09,c1,p23,l3,8
i49,e06,c1,p33,l3,3
i17,e11,c5,p23,l3,76
i06,e11,c5,p25,l2,108
i34,e01,c5,p15,l3,17
i38,e04,c1,p11,l1,49
i46,e11,c1,p28,l3,1
i39,e09,c5,p01,l3,26
i38,e09,c1,p16,l2,24
i38,e08,c1,p16,l2,45
i13,e11,c5,p07,l3,5
i34,e01,c5,p12,l3,14
i38,e10,c1,p07,l1,26
i38,e06,c1,p02,l3,132
i25,e10,c5,p01,l4,6
i38,e01,c1,p24,l3,35
i41,e09,c1,p07,l3,3
i38,e04,c1,p18,l1,9
i38,e10,c4,p10,l1,1
i39,e09,c5,p14,l3,5
i17,e09,c5,p23,l3,2
i17,e01,c5,p19,l3,24
i46,e08,c4,p11,l3,3
i13,e03,c5,p19,l3,2
i14,e09,c5,p19,l3,8
i32,e08,c5,p19,l3,1
i38,e10,c1,p02,l1,12
i34,e04,c5,p23,l3,3
i06,e10,c3,p21,l1,2
i07,e09,c5,p16,l3,3
i42,e05,c5,p08,l3,1
i43,e01,c1,p20,l3,1
i38,e10,c1,p34,l2,2
i38,e10,c4,p15,l2,1
i49,e11,c1,p01,l3,1
i16,e09,c5,p05,l3,3
i05,e04,c1,p08,l3,6
i41,e07,c1,p25,l3,2
i02,e04,c4,p15,l3,7
i13,e11,c5,p18,l3,1
i09,e04,c5,p02,l3,1
i06,e02,c5,p24,l1,1
i06,e12,c3,p16,l3,4
i67,e09,c5,p10,l3,1
i24,e09,c1,p35,l3,1
i34,e03,c5,p31,l3,2
i43,e08,c1,p01,l3,2
i25,e03,c5,p10,l3,1
i38,e08,c4,p07,l2,1
i13,e03,c5,p32,l3,1
i05,e04,c1,p21,l3,1
i30,e04,c1,p29,l3,1
i06,e07,c5,p06,l2,1
i01,e09,c1,p29,l3,1
i15,e01,c2,p35,l3,2038
i06,e08,c5,p02,l2,981
i06,e08,c5,p14,l2,1236
i30,e04,c1,p03,l3,15
i02,e04,c1,p10,l3,386
i06,e08,c5,p22,l2,2371
i38,e10,c1,p18,l3,7014
i34,e03,c5,p14,l3,35
i38,e04,c1,p15,l1,49
i06,e09,c5,p03,l2,65
i06,e10,c5,p16,l4,2871
i48,e11,c1,p10,l3,13
i32,e11,c5,p35,l3,45
i38,e06,c4,p01,l3,15
i38,e08,c1,p22,l2,61
i38,e11,c4,p18,l2,4
i38,e10,c1,p13,l2,570
i06,e10,c5,p12,l2,107
i06,e10,c5,p16,l2,77
i38,e10,c1,p16,l2,64
i06,e10,c5,p15,l2,90
i02,e04,c1,p15,l3,125
i38,e01,c1,p04,l3,32
i06,e10,c3,p01,l3,129
i06,e04,c5,p35,l1,117
i06,e10,c5,p22,l1,38
i43,e09,c1,p10,l3,24
i06,e10,c5,p25,l2,72
i34,e03,c5,p17,l3,61
i06,e10,c3,p10,l4,25
i43,e01,c1,p10,l3,20
i34,e03,c5,p15,l3,116
i43,e08,c1,p07,l3,8
i41,e08,c1,p01,l3,14
i24,e08,c1,p35,l3,100
i17,e04,c5,p25,l3,32
i21,e09,c1,p03,l3,4
i49,e10,c1,p33,l3,18
i34,e03,c5,p01,l3,65
i17,e09,c5,p10,l3,81
i06,e12,c5,p23,l3,157
i39,e01,c5,p05,l3,19
i41,e08,c1,p22,l3,49
i38,e10,c4,p20,l4,20
i38,e08,c4,p17,l2,5
i14,e04,c5,p04,l3,2
i14,e08,c5,p13,l3,2
i38,e11,c4,p17,l2,5
i05,e11,c1,p10,l3,2
i05,e12,c1,p24,l3,12
i21,e01,c1,p03,l3,2
i46,e04,c1,p32,l3,3
i16,e04,c5,p13,l3,13
i13,e01,c5,p10,l3,3
i05,e07,c1,p13,l3,1
i06,e08,c3,p19,l2,6
i38,e08,c7,p32,l2,2
i13,e04,c5,p10,l3,1
i17,e11,c5,p31,l3,1
i32,e11,c5,p04,l3,4
i14,e11,c5,p09,l3,1
i05,e06,c1,p02,l3,1
i17,e11,c5,p35,l3,1
i38,e07,c1,p14,l2,1
i14,e08,c5,p09,l3,2
i34,e04,c5,p07,l3,1
i38,e11,c1,p13,l2,284
i06,e10,c5,p16,l3,42481
i06,e04,c5,p15,l1,297
i38,e10,c1,p24,l3,7789
i38,e10,c1,p03,l2,88
i46,e11,c1,p10,l3,64
i38,e06,c1,p13,l3,2131
i38,e08,c1,p18,l2,214
i06,e04,c5,p04,l1,253
i17,e01,c5,p16,l3,23
i16,e01,c5,p10,l3,55
i06,e10,c5,p04,l4,1535
i06,e12,c5,p22,l3,140
i16,e04,c5,p24,l3,18
i39,e04,c5,p25,l3,15
i38,e01,c1,p19,l3,188
i02,e08,c1,p03,l3,550
i07,e08,c5,p07,l3,34
i02,e09,c1,p03,l3,177
i17,e04,c5,p23,l3,15
i05,e06,c1,p11,l3,13
i41,e09,c1,p15,l3,12
i06,e04,c5,p25,l1,27
i13,e12,c5,p15,l3,1
i17,e09,c5,p13,l3,17
i38,e10,c4,p07,l2,1
i38,e04,c1,p09,l1,16
i46,e09,c1,p10,l3,2
i74,e09,c5,p04,l3,3
i17,e04,c5,p32,l3,14
i34,e03,c5,p16,l3,44
i02,e01,c1,p24,l3,18
i38,e09,c1,p25,l2,13
i39,e01,c5,p14,l3,8
i06,e09,c5,p02,l2,20
i13,e11,c5,p05,l3,6
i06,e07,c5,p15,l2,3
i30,e01,c1,p21,l3,17
i38,e06,c1,p23,l3,44
i13,e11,c5,p28,l3,2
i17,e01,c5,p29,l3,21
i17,e09,c5,p04,l3,11
i05,e01,c1,p01,l3,9
i02,e04,c1,p28,l3,23
i32,e08,c5,p35,l3,35
i16,e04,c5,p10,l3,24
i05,e01,c1,p19,l3,14
i13,e08,c5,p07,l3,16
i03,e09,c5,p10,l3,6
i42,e05,c5,p29,l3,6
i16,e04,c5,p17,l3,5
i12,e08,c5,p03,l3,11
i23,e03,c5,p29,l3,2
i34,e04,c5,p14,l3,4
i66,e04,c3,p16,l3,1
i37,e08,c5,p33,l3,1
i23,e09,c5,p08,l3,1
i06,e08,c3,p03,l2,2
i07,e12,c5,p07,l3,2
i39,e04,c5,p08,l3,3
i05,e01,c1,p09,l3,5
i16,e01,c5,p01,l3,2
i46,e08,c1,p32,l3,3
i38,e01,c4,p03,l3,4
i12,e04,c5,p06,l3,1
i43,e03,c1,p04,l3,2
i05,e03,c1,p19,l3,3
i06,e10,c3,p35,l2,1
i23,e03,c5,p05,l3,2
i43,e01,c1,p29,l3,1
i07,e04,c5,p05,l3,2
i01,e11,c1,p19,l3,2
i03,e04,c5,p29,l3,2
i16,e04,c5,p29,l3,3
i43,e03,c1,p01,l3,1
i38,e08,c1,unknown,l2,1
i06,e05,c5,p17,l1,3
i07,e04,c5,p12,l3,1
i42,e05,c5,p13,l3,1
i38,e07,c1,p17,l2,2
i06,e01,c3,p10,l3,1
i46,e08,c1,p06,l3,1
i06,e08,c5,p05,l2,2368
i02,e09,c1,p11,l3,275
i02,e08,c1,p05,l3,707
i38,e10,c1,p02,l4,808
i06,e10,c5,p23,l4,1083
i34,e09,c5,p29,l3,12
i38,e01,c1,p10,l3,434
i14,e08,c5,p11,l3,66
i06,e04,c5,p20,l1,18
i38,e10,c4,p13,l3,342
i34,e03,c5,p05,l3,44
i06,e11,c5,p01,l2,467
i06,e01,c5,p24,l3,69
i17,e08,c5,p24,l3,4
i02,e08,c1,p06,l3,322
i02,e08,c1,p09,l3,43
i06,e04,c5,p06,l1,89
i17,e08,c5,p18,l3,35
i38,e10,c4,p15,l3,806
i02,e01,c1,p28,l3,31
i38,e06,c1,p26,l3,15
i38,e10,c4,p03,l4,45
i38,e09,c1,p06,l2,9
i02,e01,c1,p11,l3,261
i41,e04,c1,p10,l3,30
i14,e08,c5,p15,l3,31
i02,e09,c1,p05,l3,56
i38,e08,c1,p23,l2,33
i06,e04,c5,p09,l1,72
i30,e04,c1,p11,l3,9
i05,e12,c1,p12,l3,5
i05,e09,c1,p19,l3,6
i21,e09,c1,p01,l3,2
i38,e10,c7,p10,l3,17
i06,e10,c3,p19,l4,49
i38,e10,c4,p07,l4,20
i17,e09,c5,p11,l3,21
i05,e08,c1,p13,l3,5
i27,e09,c5,p21,l3,2
i41,e08,c1,p15,l3,61
i06,e05,c3,p18,l1,2
i17,e08,c5,p02,l3,3
i06,e10,c3,p24,l4,2
i39,e04,c5,p12,l3,18
i06,e08,c3,p35,l2,2
i16,e04,c5,p08,l3,7
i06,e10,c5,p30,l2,6
i39,e09,c5,p15,l3,4
i23,e08,c5,p07,l3,4
i33,e08,c1,p10,l3,4
i05,e04,c1,p06,l3,10
i41,e07,c1,p04,l3,4
i16,e09,c5,p16,l3,6
i05,e06,c1,p06,l3,1
i43,e01,c1,p21,l3,1
i05,e06,c1,p21,l3,7
i17,e09,c5,p24,l3,3
i07,e08,c5,p14,l3,5
i23,e08,c5,p15,l3,3
i09,e04,c5,p07,l3,1
i27,e09,c5,p04,l3,2
i42,e02,c5,p29,l3,1
i09,e04,c5,p19,l3,1
i30,e01,c1,p22,l3,3
i41,e09,c1,p18,l3,1
i31,e04,c1,p35,l3,2
i30,e01,c1,p18,l3,2
i34,e09,c5,p05,l3,3
i01,e01,c1,p13,l3,1
i41,e01,c1,p20,l3,2
i38,e10,c7,p16,l3,3
i01,e08,c1,p24,l3,2
i38,e12,c1,p29,l3,1
i34,e01,c5,p13,l3,1
i19,e09,c5,p10,l3,94
i17,e08,c5,p19,l3,120
i06,e08,c5,p08,l2,946
i38,e04,c1,p01,l1,50
i06,e10,c5,p29,l3,21744
i47,e09,c1,p35,l3,297
i14,e08,c5,p32,l3,47
i46,e09,c1,p35,l3,69
i38,e10,c1,p12,l2,94
i38,e11,c1,p24,l2,130
i41,e08,c1,p11,l3,76
i38,e10,c1,p22,l4,437
i38,e04,c1,p03,l1,62
i06,e01,c5,p15,l3,125
i02,e08,c1,p04,l3,273
i01,e08,c1,p32,l3,6
i38,e10,c1,p14,l4,846
i17,e08,c5,p15,l3,56
i38,e10,c1,p05,l2,110
i41,e07,c1,p35,l3,38
i38,e06,c4,p20,l3,15
i38,e04,c1,p13,l1,379
i63,e10,c1,p01,l4,99
i38,e10,c1,p30,l4,36
i38,e04,c1,p25,l1,14
i38,e06,c1,p35,l3,107
i41,e01,c1,p21,l3,11
i23,e09,c5,p03,l3,6
i41,e09,c1,p19,l3,11
i06,e10,c3,p16,l4,3
i34,e03,c5,p12,l3,89
i46,e08,c1,p24,l3,1
i16,e09,c5,p12,l3,1
i25,e08,c5,p13,l3,4
i17,e04,c5,p15,l3,40
i38,e10,c1,p22,l2,27
i34,e09,c5,p13,l3,1
i39,e09,c5,p24,l3,26
i38,e04,c1,p22,l1,19
i17,e09,c5,p01,l3,27
i38,e04,c1,p08,l1,13
i41,e07,c1,p01,l3,3
i42,e05,c5,p11,l3,10
i41,e09,c1,p02,l3,3
i23,e01,c5,p11,l3,1
i38,e11,c4,p22,l2,1
i61,e04,c1,p35,l3,4
i39,e04,c5,p29,l3,13
i05,e09,c1,p07,l3,2
i27,e09,c5,p11,l3,2
i32,e09,c5,p10,l3,1
i14,e08,c5,p28,l3,6
i14,e04,c5,p14,l3,1
i13,e03,c5,p18,l3,2
i05,e07,c1,p11,l3,6
i43,e04,c1,p06,l3,2
i06,e10,c3,p06,l4,3
i39,e09,c5,p08,l3,1
i38,e08,c4,p23,l2,1
i34,e08,c5,p04,l3,1
i16,e01,c5,p06,l3,2
i05,e12,c4,p10,l3,1
i34,e03,c5,p26,l3,1
i39,e09,c5,p18,l3,4
i67,e04,c5,p23,l3,1
i43,e04,c1,p23,l3,1
i38,e11,c1,p33,l2,1
i06,e08,c5,p10,l2,5296
i06,e10,c5,p09,l1,41
i43,e08,c1,p15,l3,15
i38,e10,c1,p12,l4,1999
i17,e01,c5,p22,l3,17
i38,e10,c1,p29,l3,6116
i38,e01,c1,p28,l3,11
i38,e06,c1,p25,l3,68
i06,e04,c5,p12,l1,116
i06,e11,c5,p17,l2,370
i14,e08,c5,p02,l3,31
i17,e11,c5,p13,l3,26
i13,e08,c5,p19,l3,87
i06,e02,c5,p15,l1,1
i38,e11,c1,p29,l2,87
i41,e01,c1,p19,l3,20
i02,e09,c1,p18,l3,23
i46,e08,c1,p20,l3,74
i05,e08,c1,p08,l3,14
i43,e01,c1,p15,l3,10
i06,e10,c5,p03,l1,54
i06,e10,c5,p26,l4,117
i06,e10,c5,p08,l2,43
i46,e01,c1,p10,l3,2
i01,e01,c1,p35,l3,39
i38,e10,c4,p01,l4,33
i34,e04,c5,p11,l3,35
i38,e10,c4,p05,l4,18
i03,e01,c5,p28,l3,1
i41,e08,c1,p16,l3,1
i41,e09,c1,p13,l3,7
i13,e12,c5,p19,l3,2
i27,e09,c5,p07,l3,2
i14,e09,c5,p32,l3,2
i06,e10,c5,p17,l2,35
i46,e01,c4,p13,l3,3
i23,e09,c5,p19,l3,6
i43,e01,c1,p12,l3,1
i06,e10,c5,p31,l1,1
i42,e05,c5,p22,l3,5
i06,e01,c5,p30,l3,9
i17,e01,c5,p23,l3,6
i06,e10,c3,p29,l3,23
i14,e12,c5,p06,l3,1
i46,e09,c7,p35,l3,1
i38,e10,c7,p04,l3,2
i44,e04,c3,p35,l3,4
i01,e01,c1,p22,l3,2
i03,e10,c5,p11,l3,2
i38,e07,c1,p29,l2,1
i67,e09,c5,p11,l3,3
i06,e10,c5,p08,l1,14
i30,e01,c1,p05,l3,2
i33,e10,c1,p06,l3,1
i38,e11,c4,p16,l2,2
i41,e08,c1,p29,l3,2
i23,e08,c5,p10,l3,1
i27,e09,c5,p24,l3,2
i05,e01,c1,p17,l3,1
i05,e06,c1,p14,l3,2
i42,e05,c5,p35,l3,3
i12,e04,c5,p09,l3,1
i41,e04,c1,p19,l3,2
i46,e01,c1,p08,l3,4
i42,e05,c5,p09,l3,1
i05,e11,c1,p05,l3,1
i05,e08,c1,p12,l3,1
i12,e09,c5,p01,l3,3
i06,e02,c5,p06,l1,2
i21,e03,c1,p23,l3,2
i46,e04,c1,p15,l3,1
i136,e01,c1,p11,l3,1
i41,e09,c1,p29,l3,1
i06,e08,c5,p01,l2,2301
i06,e12,c5,p14,l3,142
i06,e10,c5,p19,l1,202
i16,e08,c5,p23,l3,4
i38,e10,c1,p20,l3,1054
i34,e09,c5,p09,l3,5
i12,e09,c5,p21,l3,1
i17,e04,c5,p18,l3,81
i38,e09,c1,p17,l2,80
i38,e08,c1,p35,l2,112
i17,e09,c5,p35,l3,6
i19,e12,c5,p10,l3,12
i38,e10,c4,p23,l4,12
i07,e12,c5,p19,l3,5
i06,e01,c5,p32,l3,81
i34,e01,c5,p05,l3,9
i05,e09,c1,p08,l3,1
i30,e09,c1,p03,l3,7
i17,e08,c5,p12,l3,18
i17,e11,c5,p29,l3,22
i09,e01,c5,p21,l3,1
i06,e09,c5,p14,l2,46
i02,e09,c1,p09,l3,19
i21,e03,c1,p19,l3,10
i34,e08,c5,p22,l3,6
i05,e08,c1,p01,l3,30
i17,e11,c5,p08,l3,47
i06,e04,c5,p30,l1,5
i38,e09,c1,p18,l2,15
i12,e04,c5,p17,l3,1
i38,e12,c1,p16,l3,3
i17,e01,c5,p09,l3,6
i38,e08,c1,p25,l2,13
i17,e11,c5,p24,l3,5
i34,e03,c5,p20,l3,33
i42,e05,c5,p17,l3,3
i03,e08,c5,p07,l3,3
i33,e08,c1,p03,l3,1
i38,e06,c4,p28,l3,13
i01,e04,c1,p19,l3,4
i16,e01,c5,p07,l3,4
i48,e09,c1,p03,l3,1
i41,e04,c1,p16,l3,7
