i15,e09,c2,p35,l3,3151
i38,e05,c1,p21,l1,2
i38,e07,c1,p02,l2,4
i41,e04,c1,p18,l3,3
i41,e08,c1,p24,l3,5
i21,e05,c1,p06,l3,1
i34,e04,c5,p22,l3,5
i42,e05,c5,p12,l3,2
i34,e03,c5,p26,l3,1
i46,e09,c1,p05,l3,1
i30,e01,c1,p07,l3,3
i14,e11,c5,p02,l3,1
i02,e11,c1,p05,l3,1
i43,e01,c1,p14,l3,1
i06,e01,c5,p26,l3,2
i43,e08,c1,p18,l3,2
i03,e04,c5,p01,l3,1
i17,e05,c5,p15,l3,1
i14,e09,c5,p03,l3,1
i38,e06,c1,p03,l3,481
i38,e10,c1,p29,l3,4961
i38,e10,c1,p19,l3,40488
i06,e08,c5,p14,l2,1385
i34,e01,c5,p16,l3,24
i38,e11,c1,p04,l2,141
i01,e08,c1,p10,l3,132
i06,e04,c5,p07,l1,192
i34,e08,c5,p19,l3,108
i38,e10,c1,p35,l4,1079
i17,e04,c5,p07,l3,45
i02,e04,c1,p10,l3,511
i06,e10,c5,p20,l4,379
i07,e04,c5,p07,l3,5
i38,e06,c1,p05,l3,296
i02,e01,c1,p11,l3,279
i17,e08,c5,p15,l3,51
i38,e08,c1,p35,l2,352
i06,e04,c5,p18,l1,114
i12,e08,c5,p12,l3,4
i38,e10,c4,p35,l3,6
i06,e10,c5,p03,l4,2966
i43,e01,c1,p35,l3,21
i06,e09,c5,p03,l2,94
i38,e01,c1,p04,l3,50
i38,e06,c1,p23,l3,53
i03,e01,c5,p10,l3,6
i41,e08,c1,p21,l3,43
i38,e09,c1,p28,l2,9
i05,e04,c1,p11,l3,4
i05,e01,c1,p21,l3,19
i34,e03,c5,p02,l3,55
i05,e12,c1,p10,l3,176
i05,e12,c1,p03,l3,18
i05,e08,c1,p24,l3,16
i17,e09,c5,p12,l3,16
i43,e01,c1,p19,l3,21
i06,e10,c5,p14,l2,25
i38,e07,c1,p17,l2,3
i38,e10,c1,p17,l2,61
i06,e04,c5,p08,l1,51
i17,e09,c5,p19,l3,32
i16,e04,c5,p10,l3,16
i26,e04,c1,p35,l3,7
i38,e10,c4,p08,l3,191
i06,e01,c5,p32,l3,56
i41,e04,c1,p17,l3,9
i34,e03,c5,p30,l3,1
i13,e11,c5,p23,l3,11
i03,e08,c5,p15,l3,12
i03,e09,c5,p28,l3,2
i38,e07,c1,p01,l2,2
i12,e04,c5,p10,l3,19
i01,e09,c1,p05,l3,1
i23,e13,c5,p17,l3,17
i41,e08,c1,p14,l3,4
i38,e10,c4,p07,l1,4
i14,e13,c5,p07,l3,7
i46,e08,c1,p29,l3,1
i30,e01,c1,p13,l3,4
i06,e07,c5,p16,l2,3
i12,e01,c5,p24,l3,1
i27,e01,c5,p17,l3,2
i43,e09,c1,p32,l3,2
i06,e10,c3,p14,l3,4
i30,e04,c1,p16,l3,5
i66,e09,c3,p15,l3,3
i46,e01,c1,p10,l3,3
i12,e01,c5,p20,l3,1
i47,e01,c4,p35,l3,1
i27,e04,c5,p29,l3,1
i21,e04,c1,p05,l3,3
i67,e09,c5,p05,l3,2
i48,e04,c1,p04,l3,1
i21,e09,c1,p15,l3,2
i05,e03,c1,p11,l3,5
i21,e01,c1,p23,l3,1
i05,e08,c1,p12,l3,5
i25,e12,c5,p10,l3,1
i21,e03,c1,p28,l3,1
i41,e09,c1,p29,l3,1
i02,e11,c1,p25,l3,1
i42,e05,c3,p14,l3,1
i38,e04,c4,p32,l1,1
i01,e08,c1,p30,l3,1
i31,e07,c1,p35,l3,1
i16,e08,c5,p02,l3,1
i38,e01,c4,p10,l3,1
i06,e08,c5,p35,l2,1814
i17,e08,c5,p10,l3,332
i02,e09,c1,p04,l3,90
i38,e10,c1,p04,l3,7603
i38,e10,c1,p13,l4,3276
i01,e08,c1,p32,l3,49
i06,e10,c5,p08,l4,772
i38,e09,c1,p15,l2,34
i02,e04,c1,p29,l3,42
i16,e08,c5,p22,l3,12
i02,e08,c1,p14,l3,573
i66,e04,c3,p35,l3,10
i06,e12,c5,p20,l3,16
i38,e10,c1,p26,l4,167
i38,e10,c1,p19,l2,203
i06,e10,c5,p28,l4,727
i06,e10,c5,p19,l1,254
i02,e01,c1,p21,l3,107
i10,e05,c3,p35,l3,2
i02,e09,c1,p05,l3,45
i02,e04,c1,p17,l3,121
i39,e09,c5,p21,l3,28
i38,e11,c1,unknown,l2,4
i34,e03,c5,p07,l3,119
i25,e10,c5,p01,l4,2
i06,e04,c5,p03,l1,178
i38,e01,c1,p14,l3,14
i23,e13,c5,p18,l3,19
i17,e01,c5,p13,l3,7
i06,e09,c5,p11,l2,71
i41,e01,c1,p21,l3,26
i17,e11,c5,p09,l3,32
i02,e09,c1,p17,l3,80
i14,e01,c5,p22,l3,3
i02,e08,c1,p07,l3,592
i38,e10,c1,p33,l4,14
i23,e01,c5,p12,l3,7
i06,e09,c5,p23,l2,60
i38,e06,c4,p03,l3,29
i38,e10,c1,p05,l2,76
i42,e05,c5,p35,l3,5
i01,e08,c1,p02,l3,10
i06,e11,c3,p15,l2,3
i16,e04,c5,p21,l3,20
i12,e04,c5,p17,l3,4
i14,e08,c5,p02,l3,18
i05,e06,c1,p16,l3,4
i14,e13,c5,p16,l3,4
i42,e05,c5,p06,l3,3
i39,e09,c5,p14,l3,11
i05,e03,c1,p35,l3,16
i09,e04,c5,p08,l3,3
i38,e10,c4,p12,l4,4
i46,e04,c1,p01,l3,4
i34,e03,c5,p04,l3,38
i34,e08,c5,p18,l3,19
i41,e01,c1,p14,l3,1
i13,e08,c5,p14,l3,9
i14,e01,c5,p13,l3,3
i13,e08,c5,p24,l3,1
i14,e09,c5,p19,l3,1
i38,e08,c4,p23,l2,1
i42,e05,c5,p14,l3,7
i42,e12,c5,p23,l3,1
i30,e04,c1,p03,l3,1
i06,e09,c5,p26,l2,4
i01,e01,c1,p23,l3,1
i41,e07,c1,p05,l3,7
i41,e09,c1,p04,l3,2
i46,e06,c4,p35,l3,3
i16,e04,c5,p15,l3,4
i01,e08,c1,p09,l3,5
i05,e06,c1,p20,l3,1
i41,e13,c1,p21,l3,1
i01,e04,c1,p01,l3,3
i38,e10,c4,p19,l1,2
i66,e04,c3,p16,l3,2
i02,e09,c1,p26,l3,1
i43,e01,c4,p05,l3,1
i21,e09,c1,p05,l3,2
i27,e09,c5,p16,l3,2
i13,e08,c5,p08,l3,1
i46,e11,c1,p12,l3,1
i05,e12,c1,p28,l3,1
i16,e09,c5,p15,l3,1
i06,e08,c5,p19,l2,7290
i06,e11,c5,p14,l2,325
i06,e08,c5,p25,l2,610
i17,e09,c5,p07,l3,7
i43,e04,c1,p35,l3,28
i23,e03,c5,p10,l3,21
i23,e03,c5,p24,l3,15
i38,e10,c1,p15,l4,2618
i38,e10,c1,p15,l3,13944
i38,e10,c1,p22,l4,644
i38,e08,c4,p19,l2,4
i17,e04,c5,p29,l3,67
i06,e02,c5,p01,l1,2
i06,e04,c5,p04,l1,241
i06,e12,c5,p25,l3,49
i06,e09,c5,p17,l2,77
i34,e01,c5,p19,l3,51
i17,e04,c5,p23,l3,16
i22,e05,c5,p35,l3,25
i06,e10,c5,p06,l4,1657
i38,e10,c4,p01,l4,75
i38,e04,c1,p25,l1,1
i06,e10,c5,p03,l1,98
i06,e10,c5,p11,l1,121
i41,e11,c1,p10,l3,10
i05,e12,c1,p22,l3,18
i06,e10,c5,p05,l2,51
i38,e11,c1,p32,l2,55
i14,e04,c5,p06,l3,8
i34,e03,c5,p31,l3,5
i09,e04,c5,p10,l3,1
i06,e10,c5,p16,l2,73
i02,e01,c1,p01,l3,178
i02,e01,c1,p18,l3,37
i43,e12,c1,p19,l3,2
i38,e10,c1,p29,l2,42
i17,e01,c5,p12,l3,17
i41,e09,c1,p21,l3,10
i06,e10,c5,p22,l2,23
i41,e11,c1,p19,l3,13
i43,e09,c1,p29,l3,1
i46,e08,c1,p11,l3,13
i38,e10,c4,p04,l4,27
i27,e01,c5,p05,l3,3
i14,e13,c5,p12,l3,7
i38,e09,c1,p32,l2,37
i12,e01,c5,p04,l3,6
i03,e10,c5,p12,l3,7
i34,e08,c5,p06,l3,9
i41,e01,c1,p19,l3,4
i38,e11,c4,p06,l2,3
i34,e08,c5,p23,l3,7
i30,e09,c1,p35,l3,1
i23,e01,c5,p10,l3,7
i05,e07,c1,p04,l3,4
i05,e01,c1,p18,l3,7
i20,e08,c5,p01,l3,2
i23,e01,c5,p05,l3,5
i38,e11,c4,p17,l2,4
i07,e08,c5,p24,l3,4
i34,e04,c5,p14,l3,6
i14,e12,c5,p16,l3,28
i21,e12,c1,p05,l3,5
i17,e09,c5,p04,l3,8
i05,e09,c1,p04,l3,3
i17,e01,c5,p35,l3,1
i43,e09,c1,p05,l3,12
i41,e11,c1,p24,l3,2
i43,e03,c1,p32,l3,3
i66,e04,c3,p19,l3,3
i17,e09,c5,p14,l3,2
i06,e08,c3,p03,l2,2
i03,e10,c5,p18,l3,4
i46,e09,c1,p16,l3,3
i41,e01,c1,p32,l3,2
i03,e09,c5,p08,l3,1
i08,e04,c1,p10,l3,1
i05,e07,c1,p17,l3,4
i38,e04,c1,unknown,l1,1
i38,e05,c1,p10,l1,4
i38,e12,c1,p22,l3,1
i34,e03,c3,p02,l3,1
i06,e10,c3,p12,l4,3
i21,e03,c1,p05,l3,2
i21,e03,c1,p29,l3,2
i34,e09,c5,p29,l3,4
i13,e12,c5,p10,l3,2
i05,e12,c1,p09,l3,1
i67,e10,c5,p21,l3,2
i12,e08,c5,p05,l3,2
i20,e04,c5,p10,l3,1
i39,e09,c5,p20,l3,8
i06,e08,c5,p01,l2,2846
i17,e04,c5,p05,l3,67
i38,e10,c1,p14,l4,694
i38,e08,c1,p15,l2,223
i14,e08,c5,p11,l3,96
i06,e11,c5,p15,l2,807
i16,e08,c5,p04,l3,18
i06,e01,c5,p10,l3,277
i17,e04,c5,p11,l3,42
i38,e10,c1,p20,l3,1899
i07,e04,c5,p29,l3,3
i02,e04,c1,p01,l3,340
i06,e10,c5,p13,l4,2104
i38,e10,c4,p17,l3,353
i38,e11,c1,p07,l2,241
i19,e10,c5,p35,l4,85
i06,e10,c3,p06,l3,91
i41,e09,c1,p03,l3,5
i05,e12,c1,p29,l3,5
i06,e10,c5,p22,l1,54
i26,e11,c1,p35,l3,13
i23,e13,c5,p10,l3,101
i06,e01,c5,p23,l3,75
i02,e04,c1,p13,l3,306
i03,e11,c5,p21,l3,16
i06,e10,c3,p21,l3,66
i38,e09,c1,p06,l2,9
i43,e01,c1,p21,l3,12
i39,e04,c5,p15,l3,43
i13,e08,c5,p03,l3,8
i17,e11,c5,p29,l3,15
i41,e07,c1,p19,l3,37
i05,e01,c1,p35,l3,50
i34,e01,c5,p21,l3,10
i32,e08,c5,p35,l3,53
i38,e10,c4,p23,l4,6
i38,e09,c7,p10,l2,9
i05,e09,c1,p10,l3,14
i34,e08,c5,p11,l3,35
i34,e08,c5,p01,l3,55
i38,e06,c4,p02,l3,15
i06,e10,c5,p32,l1,17
i43,e01,c1,p09,l3,19
i39,e04,c5,p18,l3,73
i13,e08,c5,p02,l3,8
i48,e08,c1,p10,l3,5
i13,e08,c5,p01,l3,6
i06,e08,c5,p30,l2,77
i06,e10,c3,p28,l3,4
i06,e05,c5,p01,l1,10
i16,e09,c5,p05,l3,2
i05,e12,c1,p18,l3,11
i38,e10,c7,p20,l3,3
i38,e01,c4,p13,l3,2
i27,e04,c5,p19,l3,6
i38,e11,c4,p29,l2,1
i14,e09,c5,p05,l3,6
i14,e12,c5,p23,l3,10
i34,e09,c5,p14,l3,4
i16,e04,c5,p23,l3,3
i29,e09,c5,p35,l3,5
i07,e09,c5,p15,l3,3
i66,e01,c3,p21,l3,8
i16,e04,c5,p06,l3,2
i05,e07,c1,p13,l3,10
i32,e04,c5,p35,l3,3
i41,e09,c1,p24,l3,5
i23,e01,c5,p06,l3,1
i03,e01,c5,p11,l3,3
i23,e12,c5,p05,l3,1
i43,e01,c1,p17,l3,6
i22,e05,c5,p13,l3,3
i05,e08,c1,p23,l3,2
i38,e10,c4,p23,l3,6
i43,e01,c1,p32,l3,3
i94,e11,c1,p35,l3,1
i41,e13,c1,p18,l3,1
i43,e11,c1,p01,l3,1
i43,e01,c1,p04,l3,4
i27,e01,c5,p01,l3,2
i43,e04,c1,p05,l3,3
i38,e01,c4,p16,l3,1
i46,e09,c1,p20,l3,1
i23,e08,c5,p01,l3,1
i48,e04,c1,p35,l3,1
i06,e08,c5,p16,l2,4504
i06,e10,c5,p21,l3,45408
i38,e10,c1,p01,l3,20356
i38,e10,c1,p32,l3,2165
i05,e12,c1,p35,l3,130
i06,e01,c5,p16,l3,129
i06,e12,c5,p02,l3,80
i38,e11,c1,p19,l2,678
i34,e04,c5,p24,l3,31
i06,e11,c5,p05,l2,691
i38,e11,c1,p11,l2,293
i38,e04,c1,p04,l1,40
i06,e10,c5,p29,l4,1670
i06,e01,c5,p21,l3,326
i38,e04,c1,p03,l1,67
i16,e08,c5,p10,l3,83
i17,e04,c5,p04,l3,43
i17,e04,c5,p18,l3,31
i38,e10,c1,p24,l2,119
i06,e01,c5,p28,l3,40
i02,e04,c1,p12,l3,113
i02,e04,c1,p21,l3,241
i38,e10,c1,p19,l1,89
i38,e10,c1,p25,l2,14
i43,e01,c1,p13,l3,9
i141,e13,c5,p35,l3,6
i46,e11,c1,p02,l3,280
i05,e06,c1,p02,l3,1
i38,e10,c1,p14,l2,63
i06,e01,c5,p03,l3,90
i33,e08,c1,p32,l3,11
i38,e10,c7,p13,l4,59
i01,e01,c1,p35,l3,46
i06,e10,c3,p18,l3,176
i02,e04,c1,p28,l3,18
i38,e10,c4,p22,l4,11
i43,e09,c1,p03,l3,21
i34,e01,c5,p14,l3,4
i19,e01,c5,p35,l3,3
i41,e11,c1,p18,l3,29
i23,e04,c5,p13,l3,16
i05,e07,c1,p06,l3,9
i38,e11,c7,p13,l2,5
i16,e01,c5,p19,l3,6
i67,e10,c5,p24,l3,2
i42,e05,c5,p21,l3,1
i13,e08,c5,p35,l3,17
i38,e10,c4,p19,l2,4
i61,e01,c1,p35,l3,3
i43,e03,c1,p16,l3,3
i13,e11,c5,p13,l3,5
i41,e08,c1,p17,l3,10
i41,e13,c1,p04,l3,5
i46,e04,c1,p13,l3,26
i17,e09,c5,p01,l3,15
i41,e01,c1,p01,l3,13
i30,e04,c1,p05,l3,2
i42,e02,c5,p02,l3,1
i46,e01,c1,p19,l3,8
i16,e09,c5,p12,l3,8
i41,e07,c1,p06,l3,2
i43,e04,c1,p03,l3,1
i38,e11,c1,p30,l2,2
i02,e04,c1,p23,l3,14
i05,e06,c1,p08,l3,1
i19,e01,c5,p10,l3,7
i34,e01,c5,p09,l3,1
i21,e03,c1,p24,l3,3
i27,e09,c5,p12,l3,1
i06,e09,c5,p30,l2,1
i14,e09,c5,p35,l3,1
i14,e01,c5,p03,l3,4
i46,e08,c1,p13,l3,8
i16,e01,c5,p11,l3,2
i43,e09,c1,p04,l3,2
i41,e08,c1,p18,l3,3
i39,e01,c5,p26,l3,1
i16,e08,c5,p09,l3,1
i01,e09,c1,p29,l3,1
i30,e09,c1,p06,l3,1
i46,e11,c1,p07,l3,1
i63,e10,c1,p05,l1,3
i38,e07,c1,p14,l2,1
i06,e08,c5,p31,l2,279
i17,e08,c5,p32,l3,193
i34,e08,c5,p07,l3,5
i34,e08,c5,p24,l3,17
i38,e09,c1,p01,l2,115
i06,e04,c5,p06,l1,169
i06,e10,c5,p18,l2,40
i16,e09,c5,p10,l3,6
i07,e08,c5,p35,l3,144
i14,e08,c5,p21,l3,60
i02,e08,c1,p17,l3,479
i38,e10,c1,p26,l3,349
i14,e08,c5,p25,l3,23
i38,e01,c1,p35,l3,31
i06,e10,c5,p07,l2,50
i14,e13,c5,p29,l3,4
i38,e10,c1,p05,l1,33
i23,e13,c5,p07,l3,76
i05,e09,c1,p15,l3,9
i46,e11,c1,p03,l3,98
i06,e11,c5,p32,l2,93
i38,e10,c1,p07,l2,171
i38,e10,c1,p32,l2,54
i42,e05,c5,p29,l3,11
i23,e13,c5,p12,l3,57
i02,e04,c1,p14,l3,73
i23,e13,c5,p14,l3,12
i06,e10,c3,p35,l4,19
i38,e12,c1,p19,l3,8
i38,e10,c4,p06,l3,72
i14,e11,c5,p01,l3,2
i06,e10,c3,p25,l4,21
i06,e10,c5,p24,l2,149
i41,e08,c1,p04,l3,9
i17,e01,c5,p20,l3,8
i36,e01,c5,p35,l3,1
i41,e07,c1,p35,l3,111
i38,e06,c1,p31,l3,29
i43,e09,c1,p07,l3,14
i34,e01,c5,p35,l3,15
i39,e09,c5,p18,l3,13
i05,e05,c1,p21,l3,1
i05,e03,c1,p10,l3,24
i46,e08,c1,p22,l3,12
i27,e01,c5,p13,l3,1
i38,e12,c1,p17,l3,5
i41,e13,c1,p24,l3,6
i23,e08,c5,p21,l3,9
i49,e10,c1,p33,l3,20
i33,e03,c1,p05,l3,1
i38,e11,c4,p24,l2,3
i42,e05,c3,p21,l3,2
i16,e01,c5,p10,l3,16
i34,e01,c5,p18,l3,4
i41,e09,c1,p01,l3,5
i21,e12,c1,p11,l3,10
i38,e06,c4,p17,l3,14
i39,e01,c5,p10,l3,22
i14,e08,c5,p08,l3,1
i38,e09,c4,p15,l2,3
i38,e09,c1,p25,l2,9
i38,e07,c7,p10,l2,2
i17,e01,c5,p25,l3,1
i23,e04,c5,p28,l3,5
i34,e09,c5,p04,l3,2
i14,e08,c5,p23,l3,6
i38,e05,c1,p15,l1,1
i17,e01,c5,p18,l3,11
i14,e11,c5,p35,l3,1
i38,e11,c4,p13,l2,2
i27,e09,c5,p19,l3,2
i43,e03,c1,p12,l3,1
i06,e10,c5,p26,l1,5
i23,e09,c5,p28,l3,7
i05,e03,c1,p06,l3,2
i32,e11,c5,p10,l3,10
i38,e10,c4,p12,l1,1
i38,e10,c4,p21,l1,1
i66,e04,c3,p13,l3,1
i43,e04,c1,p06,l3,6
i05,e06,c1,p26,l3,1
i23,e04,c5,p29,l3,1
i05,e04,c1,p32,l3,1
i39,e01,c5,p08,l3,2
i21,e01,c1,p05,l3,2
i14,e13,c5,p26,l3,1
i06,e08,c3,p35,l2,1
i24,e09,c1,p19,l3,1
i06,e08,c5,p07,l2,1416
i06,e10,c5,p22,l3,15154
i06,e10,c5,p01,l3,38506
i23,e04,c5,p12,l3,32
i38,e10,c1,p02,l4,885
i17,e04,c5,p10,l3,378
i06,e12,c5,p06,l3,124
i01,e08,c1,p21,l3,5
i03,e04,c5,p10,l3,9
i06,e10,c5,p11,l4,3159
i02,e08,c1,p28,l3,46
i28,e04,c1,p35,l3,4
i05,e01,c1,p19,l3,22
unknown,e02,c3,p35,l3,1
i17,e11,c5,p25,l3,15
i02,e09,c1,p35,l3,85
i14,e05,c5,p10,l3,4
i38,e04,c1,p22,l1,12
i17,e11,c5,p16,l3,102
i23,e08,c5,p24,l3,18
i39,e09,c5,p03,l3,10
i38,e01,c1,p23,l3,2
i17,e11,c5,p12,l3,99
i17,e09,c5,p35,l3,21
i39,e09,c5,p17,l3,26
i01,e09,c1,p19,l3,3
i06,e10,c5,p28,l2,21
i41,e11,c1,p20,l3,11
i14,e08,c5,p32,l3,76
i38,e10,c1,unknown,l4,14
i23,e03,c5,p04,l3,11
i23,e04,c5,p32,l3,20
i38,e10,c1,p17,l1,21
i43,e01,c1,p08,l3,8
i38,e04,c1,p32,l1,47
i38,e06,c4,p21,l3,29
i12,e08,c5,p19,l3,27
i05,e12,c1,p17,l3,8
i07,e04,c5,p35,l3,42
i21,e12,c1,p24,l3,9
i23,e13,c5,p02,l3,17
i38,e08,c1,p25,l2,11
i06,e07,c5,p29,l2,4
i34,e08,c5,p04,l3,3
i66,e09,c3,p10,l3,3
i22,e02,c5,p35,l3,2
i34,e01,c5,p11,l3,12
i17,e01,c5,p04,l3,14
i02,e08,c4,p19,l3,6
i23,e04,c5,p25,l3,4
i23,e01,c5,p19,l3,3
i05,e01,c1,p15,l3,4
i34,e04,c5,p08,l3,1
i67,e01,c5,p07,l3,1
i67,e09,c5,p21,l3,1
i03,e10,c5,p04,l3,2
i14,e09,c5,p29,l3,1
i14,e01,c5,p10,l3,3
i09,e04,c3,p06,l3,1
i38,e04,c1,p31,l1,3
i38,e07,c4,p10,l2,1
i03,e08,c5,p19,l3,2
i23,e12,c5,p15,l3,2
i13,e03,c5,p35,l3,1
i14,e13,c5,p09,l3,1
i46,e09,c1,p04,l3,1
i34,e04,c5,p30,l3,2
i16,e01,c5,p06,l3,1
i66,e04,c3,p25,l3,1
i06,e05,c5,p21,l1,3
i05,e07,c1,p02,l3,1
i27,e09,c5,p07,l3,1
i27,e09,c5,p15,l3,1
i16,e09,c5,p13,l3,1
i30,e01,c1,p16,l3,1
i43,e01,c1,p10,l3,17
i44,e04,c3,p02,l3,3
i38,e04,c1,p10,l1,572
i06,e10,c5,p19,l4,6720
i06,e11,c5,p07,l2,882
i38,e08,c1,p01,l2,383
i38,e10,c4,p05,l3,68
i47,e04,c1,p35,l3,377
i06,e04,c5,p13,l1,202
i16,e08,c5,p19,l3,37
i38,e10,c1,p29,l1,33
i17,e08,c5,p18,l3,15
i38,e10,c4,p03,l3,669
i06,e09,c5,p32,l2,65
i38,e11,c1,p13,l2,309
i38,e10,c1,p31,l4,155
i38,e11,c1,p16,l2,121
i38,e06,c1,p24,l3,217
i43,e04,c1,p01,l3,52
i02,e01,c1,p22,l3,77
i42,e05,c5,p09,l3,3
i06,e07,c5,p07,l2,3
i41,e08,c1,p05,l3,6
i38,e01,c1,p32,l3,41
i38,e09,c1,p21,l2,45
i05,e08,c1,p01,l3,5
i38,e10,c1,p18,l1,17
i39,e01,c5,p17,l3,46
i16,e01,c5,p24,l3,5
i17,e04,c5,p31,l3,18
i64,e05,c3,p35,l3,3
i06,e10,c3,p18,l4,15
i38,e08,c4,p24,l2,2
i43,e04,c1,p09,l3,17
i41,e11,c1,p01,l3,5
i23,e03,c5,p35,l3,9
i14,e04,c5,p21,l3,7
i14,e01,c5,p11,l3,9
i38,e06,c1,p09,l3,26
i03,e08,c5,p17,l3,12
i38,e01,c1,p02,l3,14
i05,e08,c1,p21,l3,28
i39,e09,c5,p22,l3,12
i41,e11,c1,p12,l3,1
i12,e01,c5,p01,l3,6
i17,e11,c5,p26,l3,7
i13,e08,c5,p23,l3,2
i23,e01,c5,p35,l3,3
i23,e09,c5,p26,l3,4
i27,e04,c5,p15,l3,1
i41,e08,c1,p10,l3,6
i43,e01,c1,p18,l3,4
i39,e01,c5,p22,l3,12
i46,e06,c1,p07,l3,1
i16,e04,c5,p26,l3,2
i38,e04,c1,p23,l1,2
i38,e09,c1,p08,l2,3
