i15,e01,c2,p35,l3,1639
i01,e11,c1,p02,l3,3
i38,e12,c1,p16,l3,4
i27,e01,c5,p14,l3,3
i12,e04,c5,p16,l3,7
i38,e07,c1,p15,l2,1
i34,e09,c5,p31,l3,4
i32,e11,c5,p10,l3,5
i30,e04,c1,p14,l3,10
i06,e02,c5,p17,l1,1
i06,e02,c5,p16,l1,2
i02,e06,c1,p35,l3,1
i17,e08,c5,p31,l3,5
i46,e09,c4,p03,l3,2
i14,e04,c5,p06,l3,1
i38,e12,c4,p01,l3,2
i06,e12,c3,p16,l3,3
i43,e03,c1,p18,l3,1
i27,e01,c5,p05,l3,5
i21,e09,c1,p11,l3,2
i06,e07,c5,p17,l2,1
i06,e10,c3,p28,l3,2
i09,e01,c5,p25,l3,1
i46,e01,c4,unknown,l3,1
i43,e08,c1,p12,l3,1
i07,e01,c5,p21,l3,1
i38,e10,c4,p21,l1,2
i27,e09,c5,p11,l3,1
i06,e11,c3,p23,l2,1
i46,e09,c1,p32,l3,1
i06,e10,c5,p15,l3,64742
i06,e10,c5,p02,l4,996
i38,e10,c4,p28,l3,24
i38,e10,c1,p02,l4,757
i38,e10,c1,p35,l4,119
i06,e11,c5,p21,l2,739
i06,e08,c5,p09,l2,1463
i34,e03,c5,p01,l3,112
i06,e04,c5,p16,l1,329
i46,e11,c1,p14,l3,161
i38,e04,c1,p15,l1,53
i05,e08,c1,p06,l3,16
i46,e08,c1,p03,l3,20
i46,e04,c1,p04,l3,8
i39,e01,c5,p16,l3,29
i34,e09,c5,p19,l3,18
i38,e08,c4,p18,l2,15
i39,e01,c5,p05,l3,8
i02,e09,c1,p04,l3,36
i14,e08,c5,p19,l3,397
i34,e09,c5,p13,l3,3
i16,e04,c5,p12,l3,5
i14,e08,c5,p13,l3,57
i17,e08,c5,p05,l3,39
i02,e09,c1,p25,l3,11
i16,e01,c5,p21,l3,7
i38,e10,c4,p04,l4,3
i31,e09,c1,p35,l3,2
i05,e12,c1,p10,l3,46
i30,e09,c1,p04,l3,5
i03,e10,c5,p15,l3,2
i46,e04,c1,p24,l3,13
i02,e09,c1,p22,l3,16
i30,e09,c1,p02,l3,2
i39,e01,c5,p04,l3,14
i02,e04,c1,p28,l3,16
i38,e08,c1,p26,l2,1
i38,e11,c1,unknown,l2,2
i05,e08,c1,p03,l3,21
i41,e04,c1,p09,l3,1
i14,e08,c3,p19,l3,5
i16,e09,c5,p05,l3,1
i38,e01,c4,p15,l3,1
i05,e12,c1,p22,l3,4
i46,e01,c1,p08,l3,1
i38,e10,c4,p14,l4,9
i38,e11,c4,p24,l2,2
i01,e08,c1,p29,l3,11
i38,e07,c1,p17,l2,2
i01,e01,c1,p10,l3,11
i30,e04,c1,p19,l3,12
i01,e04,c1,p15,l3,6
i09,e09,c5,p10,l3,1
i43,e03,c1,p35,l3,2
i27,e04,c5,p21,l3,2
i38,e04,c4,p18,l1,3
i03,e04,c5,p10,l3,2
i46,e04,c1,p17,l3,3
unknown,e04,c1,p35,l3,3
i38,e11,c4,p09,l2,1
i80,e01,c3,p35,l3,1
i07,e12,c5,p32,l3,1
i05,e01,c1,p25,l3,1
i38,e01,c1,p25,l3,1
i47,e01,c4,p35,l3,2
i06,e02,c5,p13,l1,1
i38,e10,c4,p14,l2,1
i06,e10,c5,p02,l3,13316
i06,e11,c5,p14,l2,172
i06,e10,c5,p23,l4,899
i34,e08,c5,p10,l3,180
i02,e08,c1,p01,l3,235
i06,e10,c5,p31,l4,277
i43,e08,c1,p01,l3,23
i06,e12,c5,p19,l3,1733
i39,e09,c5,p18,l3,9
i06,e12,c5,p06,l3,280
i13,e11,c5,p05,l3,11
i06,e12,c5,p29,l3,329
i06,e10,c3,p06,l3,58
i38,e09,c1,p03,l2,107
i34,e01,c5,p05,l3,3
i06,e10,c3,p02,l3,81
i30,e09,c1,p12,l3,1
i05,e01,c1,p35,l3,8
i05,e12,c1,p05,l3,10
i46,e04,c1,p29,l3,6
i34,e08,c5,p03,l3,31
i34,e04,c5,p01,l3,41
i38,e08,c1,p16,l2,112
i06,e01,c5,p25,l3,14
i05,e09,c1,p03,l3,2
i39,e04,c5,p24,l3,8
i38,e10,c1,p24,l2,58
i05,e11,c1,p16,l3,8
i38,e06,c1,p01,l3,2
i41,e11,c1,p22,l3,11
i39,e09,c5,p05,l3,9
i39,e04,c5,p12,l3,21
i23,e04,c5,p01,l3,12
i12,e09,c5,p19,l3,7
i16,e04,c5,p10,l3,32
i12,e04,c5,p11,l3,9
i21,e03,c1,p13,l3,5
i36,e08,c5,p35,l3,4
i14,e12,c5,p08,l3,17
i73,e09,c3,p35,l3,6
i27,e01,c5,p02,l3,4
i39,e09,c5,p13,l3,4
i23,e09,c5,p01,l3,2
i21,e01,c1,p10,l3,2
i47,e04,c4,p35,l3,4
i14,e04,c5,p05,l3,11
i27,e09,c5,p14,l3,3
i01,e08,c1,p07,l3,16
i39,e01,c5,p08,l3,5
i14,e11,c5,p05,l3,5
i14,e11,c5,p32,l3,2
i13,e12,c5,p15,l3,1
i66,e04,c3,p15,l3,1
i38,e11,c4,p12,l2,5
i67,e10,c5,p18,l3,2
i09,e04,c5,p35,l3,3
i41,e07,c1,p01,l3,3
i43,e12,c1,p35,l3,1
i22,e02,c5,p24,l3,1
i01,e09,c1,p19,l3,1
i03,e04,c5,p14,l3,2
i06,e10,c5,p20,l1,3
i66,e01,c3,p10,l3,1
i05,e07,c1,p02,l3,1
i30,e04,c1,p02,l3,2
i38,e11,c4,p35,l2,1
i38,e12,c1,p32,l3,2
i06,e10,c3,p23,l2,1
i38,e10,c1,p06,l3,4146
i06,e10,c5,p19,l4,6532
i46,e09,c1,p35,l3,1017
i38,e11,c1,p02,l2,107
i38,e10,c1,p19,l2,444
i06,e10,c5,p22,l4,994
i06,e12,c5,p03,l3,303
i41,e01,c1,p06,l3,3
i02,e09,c1,p29,l3,39
i38,e08,c1,p21,l2,605
i38,e10,c1,p08,l2,31
i02,e09,c1,p07,l3,110
i34,e03,c5,p28,l3,18
i38,e04,c1,p08,l1,11
i12,e08,c5,p11,l3,4
i07,e12,c5,p16,l3,6
i30,e04,c1,p21,l3,18
i06,e08,c5,p26,l2,142
i17,e09,c5,p29,l3,7
i02,e04,c1,p04,l3,79
i39,e01,c5,p14,l3,4
i46,e09,c4,p19,l3,20
i13,e08,c5,p23,l3,22
i31,e08,c1,p35,l3,12
i17,e01,c5,p03,l3,20
i38,e11,c1,p35,l2,19
i38,e10,c4,p07,l1,7
i41,e09,c1,p08,l3,2
i06,e07,c5,p12,l2,5
i39,e04,c5,p25,l3,15
i05,e07,c1,p12,l3,3
i16,e08,c5,p23,l3,2
i14,e09,c5,p01,l3,4
i27,e09,c5,p04,l3,2
i06,e10,c5,p31,l1,10
i42,e02,c5,p19,l3,5
i03,e04,c5,p05,l3,7
i39,e04,c5,p02,l3,2
i46,e09,c1,unknown,l3,3
i07,e02,c5,p21,l3,1
i05,e09,c1,p24,l3,1
i38,e10,c4,p01,l1,1
i05,e09,c1,p23,l3,1
i38,e11,c4,p14,l2,1
i46,e08,c1,p07,l3,5
i46,e01,c1,p25,l3,1
i01,e01,c1,p17,l3,1
i38,e07,c1,p13,l2,2
i17,e01,c5,p07,l3,3
i05,e12,c4,p35,l3,2
i46,e01,c4,p05,l3,3
i20,e04,c5,p15,l3,1
i38,e11,c4,p17,l2,2
i01,e08,c1,p18,l3,1
i06,e01,c5,p05,l3,126
i06,e10,c5,p06,l4,1331
i38,e11,c1,p11,l2,344
i38,e10,c4,p10,l4,172
i06,e04,c5,p23,l1,44
i06,e12,c5,p21,l3,559
i06,e04,c5,p10,l1,465
i06,e10,c3,p07,l3,64
i02,e01,c1,p04,l3,107
i17,e04,c5,p04,l3,25
i38,e07,c1,p10,l2,34
i38,e04,c1,p24,l1,62
i38,e10,c1,p26,l4,27
i43,e09,c1,p15,l3,1
i38,e10,c1,p35,l2,582
i14,e08,c5,p08,l3,14
i17,e11,c5,p17,l3,45
i16,e08,c5,p10,l3,143
i41,e08,c1,p19,l3,3
i34,e04,c5,p15,l3,20
i34,e04,c5,p11,l3,27
i39,e04,c5,p17,l3,51
i16,e09,c5,p10,l3,10
i06,e04,c5,p25,l1,35
i06,e05,c5,p21,l1,2
i38,e08,c1,p07,l2,193
i34,e08,c5,p12,l3,21
i38,e10,c1,p04,l2,30
i41,e04,c1,p07,l3,4
i38,e05,c1,p10,l1,4
i38,e12,c1,p31,l3,75
i05,e12,c1,p35,l3,100
i38,e10,c1,p08,l1,5
i06,e10,c3,p01,l3,34
i46,e09,c1,p09,l3,9
i16,e04,c5,p05,l3,8
i23,e04,c5,p06,l3,2
i16,e08,c5,p17,l3,13
i38,e05,c1,p35,l1,1
i34,e08,c5,p04,l3,23
i46,e04,c1,p21,l3,5
i17,e11,c5,p22,l3,10
i17,e09,c5,p35,l3,2
i13,e01,c5,p19,l3,10
i06,e05,c5,p08,l1,2
i38,e08,c4,p05,l2,5
i05,e12,c1,p07,l3,5
i30,e01,c1,p29,l3,8
i34,e09,c5,p02,l3,4
i42,e05,c5,p29,l3,2
i14,e01,c5,p25,l3,1
i38,e09,c1,p23,l2,3
i13,e08,c5,p06,l3,2
i05,e07,c1,p18,l3,2
i46,e08,c1,p21,l3,2
i30,e01,c1,p28,l3,2
i06,e10,c3,p01,l4,2
i38,e12,c4,p10,l3,1
i06,e10,c3,p04,l4,3
i12,e01,c5,p09,l3,2
i14,e04,c5,p24,l3,7
i13,e11,c5,p29,l3,2
i05,e07,c1,p11,l3,3
i12,e08,c5,p16,l3,1
i17,e01,c5,p23,l3,2
i14,e08,c3,p17,l3,2
i17,e04,c5,p31,l3,2
i17,e04,c5,p32,l3,1
i07,e01,c5,p07,l3,1
i38,e10,c1,p25,l3,1677
i15,e09,c2,p35,l3,1653
i06,e11,c5,p19,l2,1717
i06,e10,c3,p17,l3,177
i38,e10,c1,p14,l4,473
i38,e04,c1,p01,l1,41
i06,e12,c5,p28,l3,67
i38,e01,c1,p10,l3,195
i06,e09,c5,p05,l2,113
i22,e05,c5,p10,l3,5
i38,e09,c1,p19,l2,156
i41,e08,c1,p35,l3,64
i38,e08,c1,p12,l2,359
i38,e08,c4,p01,l2,1
i38,e10,c1,p15,l1,53
i38,e04,c1,p19,l1,159
i38,e07,c1,p19,l2,15
i07,e12,c5,p18,l3,3
i34,e01,c5,p24,l3,13
i14,e04,c5,p15,l3,5
i41,e11,c1,p35,l3,9
i34,e04,c5,p21,l3,9
i17,e01,c5,p18,l3,2
i06,e10,c3,p15,l4,50
i06,e10,c3,p24,l3,96
i30,e09,c1,p21,l3,19
i38,e09,c1,p17,l2,71
i30,e09,c1,p23,l3,12
i02,e09,c1,p08,l3,13
i46,e09,c1,p03,l3,52
i38,e10,c4,p04,l3,65
i41,e07,c1,p10,l3,12
i38,e10,c4,p11,l4,51
i16,e08,c5,p15,l3,22
i17,e01,c5,p01,l3,21
i46,e01,c1,p04,l3,13
i06,e10,c5,p22,l1,27
i38,e10,c4,p15,l4,17
i38,e01,c1,p23,l3,11
i41,e08,c1,p12,l3,12
i02,e08,c1,p23,l3,107
i16,e08,c5,p14,l3,11
i30,e04,c1,p11,l3,7
i05,e07,c1,p15,l3,1
i38,e10,c4,p23,l4,2
i14,e08,c5,p30,l3,16
i05,e03,c1,p11,l3,5
i06,e02,c5,p01,l1,2
i06,e08,c3,p13,l2,5
i01,e08,c1,p28,l3,7
i43,e01,c1,p06,l3,4
i13,e08,c5,p07,l3,4
i30,e09,c1,p11,l3,2
i29,e09,c5,p35,l3,3
i38,e06,c1,p03,l3,7
i22,e05,c5,p16,l3,3
i34,e09,c5,p17,l3,1
i46,e08,c1,p13,l3,16
i17,e08,c5,p28,l3,4
i30,e01,c1,p05,l3,4
i23,e01,c3,p22,l3,4
i06,e05,c5,p28,l1,1
i03,e04,c5,p04,l3,3
i12,e08,c5,p02,l3,2
i06,e10,c3,p03,l1,1
i01,e01,c1,p14,l3,1
i03,e01,c5,p16,l3,1
i38,e05,c1,p12,l1,1
i05,e04,c1,p01,l3,1
i16,e09,c5,p12,l3,1
i41,e07,c1,p21,l3,1
i21,e04,c1,p16,l3,2
i06,e08,c5,p35,l2,2410
i46,e11,c4,p35,l3,1735
i38,e10,c1,p29,l3,5242
i02,e09,c1,p10,l3,317
i38,e10,c1,p12,l3,10076
i06,e10,c3,p23,l3,48
i06,e10,c5,p08,l4,804
i06,e08,c5,p12,l2,2702
i06,e10,c5,p16,l1,83
i38,e10,c4,p22,l3,73
i06,e11,c5,p29,l2,461
i06,e04,c5,p17,l1,151
i02,e09,c1,p18,l3,31
i06,e12,c5,p33,l3,4
i38,e09,c1,p21,l2,55
i07,e12,c5,p35,l3,139
i46,e11,c4,p03,l3,176
i17,e11,c5,p01,l3,46
i06,e12,c5,p22,l3,137
i38,e10,c4,p17,l3,202
i06,e01,c5,p01,l3,96
i38,e10,c4,p05,l4,22
i05,e01,c1,p17,l3,9
i07,e04,c5,p35,l3,36
i34,e08,c5,p11,l3,27
i02,e09,c1,p16,l3,44
i41,e04,c1,p21,l3,14
i17,e08,c5,p12,l3,19
i01,e08,c1,p12,l3,26
i16,e08,c5,p16,l3,14
i38,e10,c1,p13,l2,87
i01,e08,c1,p17,l3,3
i54,e04,c1,p35,l3,4
i38,e10,c4,p13,l3,49
i38,e04,c1,p23,l1,20
i39,e09,c5,p03,l3,10
i41,e04,c1,p10,l3,19
i06,e10,c5,p28,l2,26
i14,e08,c5,p09,l3,9
i39,e09,c5,p28,l3,3
i34,e08,c5,p31,l3,11
i38,e12,c1,p21,l3,7
i23,e10,c5,p10,l3,5
i38,e06,c1,p32,l3,11
i22,e05,c5,p11,l3,5
i14,e08,c5,p18,l3,7
i17,e09,c5,p11,l3,5
i01,e08,c1,p16,l3,22
i34,e08,c3,p05,l3,1
i06,e07,c5,p05,l2,3
i48,e11,c1,p13,l3,1
i12,e08,c5,p04,l3,5
i14,e01,c5,p14,l3,2
i49,e06,c1,p33,l3,1
i16,e04,c5,p18,l3,4
i14,e08,c3,p10,l3,3
i39,e01,c5,p12,l3,12
i42,e05,c5,p17,l3,2
i01,e09,c1,p14,l3,8
i39,e01,c5,p07,l3,4
i34,e08,c5,p25,l3,4
i46,e08,c4,p03,l3,4
i74,e08,c5,p10,l3,3
i13,e09,c5,p10,l3,2
i14,e08,c3,p15,l3,1
unknown,e08,c1,p35,l3,1
i01,e09,c1,p21,l3,6
i38,e10,c4,p22,l1,1
i06,e05,c5,p23,l1,1
i41,e07,c1,p16,l3,1
i13,e05,c5,p10,l3,1
i12,e09,c5,p21,l3,1
i41,e07,c1,p18,l3,2
i21,e03,c1,p16,l3,1
unknown,e08,c1,p29,l3,1
i43,e09,c1,p08,l3,1
i38,e10,c1,p10,l3,68325
i06,e10,c5,p10,l4,7965
i06,e10,c5,p15,l4,4115
i46,e11,c1,p01,l3,831
i06,e12,c5,p17,l3,475
i38,e11,c1,p28,l2,48
i06,e08,c5,p19,l2,9372
i06,e12,c5,p32,l3,914
i06,e04,c5,p01,l1,202
i06,e04,c5,p24,l1,108
i02,e01,c1,p15,l3,128
i06,e01,c5,p29,l3,88
i06,e11,c5,p20,l2,70
i06,e04,c5,p35,l1,161
i06,e12,c5,p24,l3,303
i38,e11,c1,p24,l2,107
i06,e01,c5,p10,l3,240
i41,e09,c1,p14,l3,6
i17,e11,c5,p05,l3,59
i06,e08,c5,p31,l2,97
i30,e09,c1,p10,l3,21
i02,e08,c1,p24,l3,449
i03,e08,c5,p05,l3,22
i02,e04,c1,p18,l3,29
i16,e09,c5,p15,l3,4
i34,e03,c5,p29,l3,41
i39,e01,c5,p01,l3,7
i02,e08,c1,p21,l3,73
i30,e01,c1,p03,l3,8
i34,e04,c5,p02,l3,32
i16,e08,c5,p25,l3,16
i41,e07,c1,p35,l3,6
i14,e09,c5,p15,l3,2
i14,e08,c5,p05,l3,64
i16,e08,c5,p03,l3,21
i46,e04,c1,p08,l3,31
i38,e04,c1,p29,l1,53
i22,e02,c5,p35,l3,3
i38,e11,c1,p32,l2,19
i30,e09,c1,p35,l3,2
i41,e04,c1,p01,l3,5
i17,e04,c5,p17,l3,30
i88,e11,c1,p35,l3,9
i43,e01,c1,p19,l3,5
i38,e10,c1,p04,l1,9
i79,e09,c1,p10,l3,5
i23,e11,c5,p01,l3,2
i42,e02,c5,p15,l3,1
i23,e01,c5,p07,l3,6
i35,e01,c2,p35,l3,4
i23,e08,c3,p22,l3,5
i80,e04,c3,p35,l3,8
i34,e09,c5,p18,l3,5
i01,e11,c1,p19,l3,7
i06,e10,c5,p26,l1,5
i05,e12,c1,p16,l3,4
i13,e08,c5,p09,l3,3
i67,e09,c5,p35,l3,2
i06,e09,c5,p26,l2,6
i41,e01,c1,p18,l3,5
i17,e11,c5,p09,l3,6
i06,e10,c3,p18,l4,1
i30,e04,c1,p15,l3,4
i14,e04,c5,p16,l3,4
i06,e11,c3,p11,l2,4
i06,e11,c3,p35,l2,5
i05,e12,c1,p09,l3,2
i05,e11,c1,p01,l3,1
i06,e02,c5,p25,l1,1
i06,e02,c5,p09,l1,1
i38,e05,c1,p23,l1,1
i39,e09,c5,p24,l3,1
i27,e08,c5,p10,l3,1
i06,e02,c5,p21,l1,2
