i15,e09,c6,p35,l3,26
i02,e04,c1,p08,l3,19
i39,e04,c5,p14,l3,6
i38,e10,c4,p19,l4,66
i46,e01,c1,p13,l3,4
i39,e04,c5,p12,l3,94
i34,e01,c5,p19,l3,12
i02,e04,c1,p20,l3,23
i14,e04,c5,p07,l3,7
i06,e07,c5,p13,l2,1
i39,e09,c5,p04,l3,13
i12,e04,c5,p10,l3,18
i12,e04,c5,p09,l3,3
i29,e09,c5,p12,l3,1
i23,e08,c5,p35,l3,3
i49,e04,c1,p33,l3,4
i43,e04,c1,p11,l3,9
i41,e04,c1,p02,l3,2
i38,e04,c4,p03,l1,6
i05,e01,c1,p18,l3,2
i05,e01,c1,p25,l3,1
i34,e03,c5,p28,l3,10
i05,e04,c1,p03,l3,3
i39,e04,c5,p26,l3,4
i06,e10,c3,p12,l3,4
i43,e07,c1,p10,l3,1
i13,e03,c5,p02,l3,1
i23,e03,c5,p28,l3,2
i27,e09,c5,p10,l3,2
i34,e09,c5,p01,l3,2
i03,e08,c5,p07,l3,1
i38,e09,c7,p32,l2,1
i94,e11,c1,p35,l3,1
i14,e01,c5,p12,l3,2
i87,e04,c5,p19,l3,1
i26,e09,c1,p35,l3,1
i41,e04,c1,p24,l3,1
i02,e11,c1,p29,l3,1
i14,e08,c5,p02,l3,3
i38,e11,c4,p28,l2,1
i27,e08,c5,p12,l3,1
i12,e08,c5,p20,l3,1
i43,e04,c1,p01,l3,1
i61,e08,c4,p35,l3,1
i06,e11,c5,p05,l2,550
i06,e10,c5,p13,l4,1696
i06,e08,c5,p13,l2,2246
i06,e10,c5,p18,l3,24044
i38,e01,c1,p19,l3,168
i38,e09,c1,p10,l2,435
i06,e12,c5,p18,l3,292
i06,e10,c5,p07,l1,75
i17,e04,c5,p14,l3,46
i17,e11,c5,p19,l3,168
i06,e12,c5,p05,l3,203
i38,e10,c1,p02,l3,4666
i17,e09,c5,p19,l3,38
i38,e09,c1,p24,l2,30
i06,e10,c5,p03,l1,95
i38,e10,c1,p29,l2,17
i06,e10,c5,p09,l1,54
i39,e01,c5,p35,l3,293
i06,e10,c3,p16,l3,90
i38,e11,c1,p30,l2,6
i38,e10,c1,p04,l1,33
i38,e06,c1,p05,l3,290
i05,e03,c1,p11,l3,3
i14,e08,c5,p29,l3,28
i38,e10,c1,p02,l1,34
i06,e10,c5,p12,l2,141
i39,e01,c5,p13,l3,5
i13,e05,c5,p35,l3,3
i42,e05,c5,p19,l3,8
i23,e03,c5,p19,l3,6
i05,e09,c1,p35,l3,22
i12,e08,c5,p16,l3,15
i34,e08,c5,p10,l3,64
i05,e01,c1,p19,l3,8
i41,e09,c1,p10,l3,18
i42,e05,c5,p12,l3,10
i05,e08,c1,p12,l3,34
i38,e10,c1,unknown,l3,26
i48,e11,c1,p11,l3,1
i38,e06,c4,p01,l3,15
i34,e03,c5,p06,l3,26
i46,e08,c4,p10,l3,7
i38,e10,c1,p12,l1,31
i17,e08,c5,p04,l3,18
i38,e09,c1,p14,l2,17
i41,e08,c1,p15,l3,10
i14,e08,c5,p14,l3,39
i16,e04,c5,p05,l3,6
i34,e04,c5,p35,l3,8
i34,e09,c5,p14,l3,18
i39,e04,c5,p09,l3,3
i17,e08,c5,p16,l3,26
i46,e04,c1,p01,l3,4
i03,e04,c5,p11,l3,5
i38,e10,c1,p20,l1,10
i16,e08,c5,p04,l3,4
i23,e01,c5,p21,l3,10
i13,e08,c5,p21,l3,15
i23,e13,c5,p35,l3,3
i16,e08,c5,p01,l3,5
i38,e07,c1,p04,l2,3
i13,e04,c5,p19,l3,1
i05,e01,c1,p15,l3,5
i21,e03,c1,p16,l3,2
i27,e09,c5,p07,l3,1
i133,e04,c3,p10,l3,3
i34,e01,c5,p22,l3,2
i43,e09,c1,p35,l3,1
i21,e01,c1,p25,l3,2
i14,e11,c5,p09,l3,2
i25,e08,c5,p11,l3,1
i14,e08,c5,p25,l3,1
i01,e08,c1,p25,l3,1
i07,e12,c5,p01,l3,7
i17,e09,c5,p23,l3,1
i32,e11,c5,p23,l3,1
i16,e01,c5,p29,l3,3
i17,e09,c5,p24,l3,4
i34,e08,c5,p06,l3,5
i38,e12,c1,p25,l3,1
i66,e04,c3,p14,l3,1
i05,e12,c1,p32,l3,1
i06,e07,c5,p01,l2,2
i27,e04,c5,p01,l3,1
i06,e08,c5,p17,l2,1676
i14,e08,c5,p21,l3,38
i06,e11,c5,p21,l2,505
i06,e10,c5,p09,l3,12550
i34,e01,c5,p35,l3,25
i38,e10,c1,p11,l3,15276
i12,e01,c5,p28,l3,8
i06,e04,c5,p35,l1,127
i02,e08,c1,p16,l3,576
i03,e04,c5,p19,l3,5
i06,e08,c5,p08,l2,846
i38,e11,c1,p01,l2,329
i06,e10,c5,p28,l4,532
i38,e10,c1,p28,l4,324
i38,e10,c1,p19,l1,157
i06,e10,c3,p35,l3,78
i38,e10,c1,p15,l2,83
i17,e01,c5,p03,l3,31
i06,e04,c5,p09,l1,78
i46,e09,c1,p19,l3,3
i06,e09,c5,p18,l2,42
i39,e04,c5,p29,l3,43
i38,e04,c1,p28,l1,12
i05,e08,c1,p15,l3,10
i38,e08,c4,p06,l2,79
i14,e11,c5,p02,l3,2
i02,e08,c1,p23,l3,420
i17,e08,c5,p07,l3,53
i23,e04,c5,p15,l3,5
i39,e04,c5,p16,l3,14
i38,e01,c1,p22,l3,9
i23,e01,c5,p35,l3,11
i21,e03,c1,p28,l3,6
i34,e01,c5,p13,l3,7
i17,e11,c5,p04,l3,17
i06,e10,c3,p13,l4,6
i41,e07,c1,p23,l3,8
i38,e06,c1,p30,l3,13
i34,e03,c5,p04,l3,26
i02,e08,c4,p10,l3,3
i41,e01,c1,p04,l3,3
i07,e04,c5,p16,l3,1
i42,e05,c3,p15,l3,1
i30,e04,c1,p17,l3,3
i38,e04,c1,p16,l1,22
i05,e11,c1,p11,l3,2
i91,e08,c1,p10,l3,4
i46,e08,c1,p26,l3,10
i27,e04,c5,p21,l3,3
i46,e08,c4,p08,l3,1
i03,e04,c5,p18,l3,1
i14,e08,c5,p09,l3,2
i38,e09,c4,p19,l2,1
i23,e13,c5,p10,l3,6
i05,e06,c1,p03,l3,6
i17,e01,c5,p17,l3,12
i46,e01,c1,p09,l3,3
i12,e04,c5,p28,l3,5
i05,e12,c1,p02,l3,1
i67,e09,c5,p05,l3,2
i03,e01,c5,p18,l3,1
i30,e09,c1,p24,l3,4
i34,e08,c5,p08,l3,4
i38,e11,c4,p20,l2,1
i16,e11,c5,p19,l3,1
i16,e01,c5,p10,l3,4
i12,e09,c5,p28,l3,2
i16,e09,c5,p11,l3,3
i09,e01,c5,p03,l3,1
i06,e02,c5,p25,l1,1
i33,e01,c1,p10,l3,3
i33,e03,c1,p10,l3,4
i41,e01,c1,p09,l3,2
i03,e08,c5,p18,l3,1
i05,e04,c1,p32,l3,2
i05,e12,c1,p06,l3,1
i38,e01,c4,p07,l3,1
i07,e08,c5,p31,l3,1
i14,e04,c5,p11,l3,1
i06,e10,c5,p10,l3,120406
i38,e10,c1,p15,l4,2163
i38,e10,c1,p35,l2,487
i06,e04,c5,p11,l1,333
i06,e10,c5,p06,l4,1656
i38,e10,c1,p09,l3,4355
i28,e04,c1,p35,l3,9
i06,e04,c5,p04,l1,187
i02,e01,c1,p11,l3,198
i38,e01,c1,p21,l3,57
i06,e10,c5,p15,l2,85
i17,e11,c5,p03,l3,64
i02,e09,c1,p31,l3,1
i02,e01,c1,p02,l3,13
i38,e04,c1,p17,l1,25
i38,e10,c4,p04,l2,1
i39,e09,c5,p19,l3,27
i46,e01,c1,p15,l3,25
i05,e07,c1,p13,l3,8
i23,e13,c5,p11,l3,4
i06,e09,c5,p01,l2,77
i41,e07,c1,p05,l3,9
i06,e10,c5,p30,l4,84
i38,e06,c1,p06,l3,111
i41,e08,c1,p21,l3,32
i06,e01,c5,p18,l3,54
i38,e06,c1,p08,l3,75
i38,e01,c1,p32,l3,19
i43,e04,c1,p13,l3,2
i34,e08,c5,p12,l3,159
i38,e10,c1,p22,l2,12
i05,e11,c1,p10,l3,1
i17,e01,c5,p24,l3,12
i115,e05,c5,p10,l3,2
i06,e04,c3,p01,l1,1
i17,e11,c3,p25,l3,2
i12,e04,c5,p17,l3,2
i19,e11,c5,p03,l3,4
i39,e04,c5,p11,l3,29
i38,e11,c4,p12,l2,4
i07,e09,c5,p35,l3,11
i41,e07,c1,p09,l3,2
i14,e08,c5,p26,l3,12
i12,e04,c5,p18,l3,2
i06,e10,c3,p29,l4,3
i05,e04,c1,p10,l3,20
i01,e04,c1,p01,l3,1
i31,e05,c1,p10,l3,1
i02,e08,c1,p20,l3,11
i30,e01,c1,p29,l3,9
i38,e10,c1,p26,l1,4
i32,e11,c5,p24,l3,1
i34,e09,c5,p25,l3,3
i14,e08,c5,p06,l3,1
i13,e04,c5,p35,l3,1
i27,e01,c5,p19,l3,1
i41,e09,c1,p07,l3,3
i38,e10,c4,p28,l2,2
i14,e04,c5,p02,l3,1
i38,e08,c4,p09,l2,2
i21,e03,c1,p23,l3,1
i05,e09,c1,p22,l3,1
i34,e01,c5,p32,l3,2
i38,e08,c1,unknown,l2,5
i27,e01,c5,p11,l3,2
i42,e05,c3,p33,l3,1
i23,e01,c5,p18,l3,1
i16,e08,c5,p31,l3,1
i38,e09,c4,p03,l2,2
i46,e11,c1,p01,l3,1
i05,e01,c1,unknown,l3,1
i43,e09,c1,p18,l3,2
i14,e11,c5,p20,l3,1
i16,e05,c5,p11,l3,1
i06,e10,c5,p06,l3,20230
i02,e08,c1,p32,l3,36
i38,e11,c1,p03,l2,286
i06,e08,c5,p28,l2,447
i38,e10,c1,p15,l3,13036
i06,e10,c5,p23,l1,25
i06,e10,c5,p08,l4,638
i02,e08,c1,p15,l3,452
i38,e10,c4,p21,l3,284
i41,e01,c1,p16,l3,7
i38,e10,c4,p21,l4,49
i136,e01,c1,p10,l3,1
i38,e10,c4,p02,l3,234
i02,e09,c1,p17,l3,68
i02,e04,c1,p09,l3,23
i23,e09,c5,p12,l3,10
i17,e09,c5,p01,l3,23
i02,e04,c1,p06,l3,22
i19,e11,c5,p35,l3,109
i46,e08,c1,p11,l3,16
i38,e08,c4,p13,l2,39
i41,e01,c1,p15,l3,4
i05,e04,c1,p11,l3,3
i39,e09,c5,p24,l3,8
i38,e10,c4,p35,l3,99
i100,e11,c5,p10,l3,42
i23,e01,c5,p15,l3,9
i38,e10,c1,p20,l2,4
i23,e01,c5,p19,l3,2
i16,e01,c5,p21,l3,8
i34,e04,c5,p11,l3,19
i19,e04,c5,p10,l3,16
i38,e04,c1,p23,l1,7
i38,e10,c4,p28,l3,15
i38,e06,c4,p09,l3,15
i34,e01,c5,p06,l3,1
i66,e09,c3,p35,l3,3
i17,e04,c5,p20,l3,12
i63,e10,c1,p35,l3,12
i17,e01,c5,p13,l3,5
i38,e10,c1,p06,l1,21
i02,e09,c1,p08,l3,26
i38,e06,c4,p06,l3,15
i39,e01,c5,p08,l3,4
i23,e04,c5,p21,l3,12
i14,e08,c5,p30,l3,1
i13,e11,c5,p19,l3,21
i07,e04,c5,p15,l3,1
i34,e03,c5,p31,l3,3
i43,e01,c1,p02,l3,12
i19,e03,c3,p10,l3,2
i02,e11,c1,p16,l3,1
i06,e09,c5,p14,l2,27
i03,e09,c5,p14,l3,2
i02,e08,c4,p19,l3,2
i16,e09,c5,p31,l3,2
i14,e01,c5,p03,l3,6
i34,e08,c5,p01,l3,9
i41,e08,c1,p29,l3,6
i42,e05,c5,p24,l3,2
i38,e12,c1,p30,l3,3
i16,e01,c5,p12,l3,4
i03,e01,c5,p12,l3,2
i17,e08,c5,p18,l3,8
i42,e05,c5,p25,l3,2
i46,e01,c1,p11,l3,2
i03,e09,c5,p22,l3,2
i38,e12,c1,p07,l3,2
i23,e03,c5,p14,l3,1
i39,e04,c5,p23,l3,4
i03,e08,c5,p28,l3,5
i38,e07,c1,p03,l2,2
i06,e10,c5,p33,l1,1
i38,e05,c1,p11,l1,1
i13,e11,c5,p03,l3,1
i05,e03,c1,p12,l3,1
i09,e09,c5,p35,l3,1
i16,e01,c5,p06,l3,1
i06,e08,c5,p05,l2,3434
i06,e08,c5,p19,l2,5261
i06,e08,c5,p04,l2,1003
i34,e03,c5,p10,l3,337
i34,e03,c5,p24,l3,38
i01,e09,c1,p35,l3,38
i38,e10,c1,p03,l2,68
i06,e10,c5,p04,l1,86
i14,e04,c5,p24,l3,5
i02,e09,c1,p11,l3,152
i38,e01,c1,p23,l3,13
i06,e01,c5,p04,l3,70
i38,e06,c1,p26,l3,71
i38,e05,c1,p10,l1,4
i14,e12,c5,p07,l3,212
i38,e10,c4,p06,l4,49
i01,e04,c1,p35,l3,78
i06,e01,c5,p32,l3,63
i46,e01,c1,p04,l3,1
i14,e04,c5,p14,l3,4
i22,e05,c5,p09,l3,14
i43,e08,c1,p02,l3,25
i02,e08,c1,p25,l3,359
i06,e10,c5,p13,l2,38
i41,e01,c1,p10,l3,24
i43,e09,c1,p28,l3,7
i27,e11,c3,p05,l3,2
i02,e09,c1,p18,l3,26
i02,e01,c1,p20,l3,12
i02,e04,c1,p22,l3,46
i01,e08,c1,p12,l3,53
i14,e05,c5,p29,l3,1
i39,e04,c5,p07,l3,9
i23,e04,c5,p09,l3,45
i16,e09,c5,p10,l3,12
i46,e11,c4,p35,l3,37
i14,e04,c5,p03,l3,9
i01,e09,c1,p07,l3,5
i30,e04,c1,p10,l3,29
i02,e09,c1,p28,l3,12
i34,e01,c5,p11,l3,5
i06,e07,c5,p14,l2,2
i14,e13,c5,p08,l3,1
i63,e10,c1,p03,l2,16
i21,e04,c1,p19,l3,1
i30,e01,c1,p17,l3,6
i06,e10,c3,p21,l3,30
i14,e08,c5,p35,l3,30
i41,e09,c1,p02,l3,3
i38,e09,c1,p16,l2,18
i16,e04,c5,p20,l3,3
i09,e01,c5,p24,l3,4
i38,e06,c4,p13,l3,4
i43,e01,c1,p07,l3,2
i38,e12,c1,p03,l3,2
i41,e04,c1,p03,l3,4
i17,e04,c5,p28,l3,18
i21,e12,c1,p23,l3,2
i16,e04,c5,p14,l3,5
i16,e08,c5,p05,l3,2
i17,e04,c5,p25,l3,7
i16,e09,c5,p20,l3,1
i84,e08,c1,p35,l3,1
i107,e04,c2,p35,l3,1
i05,e09,c1,p17,l3,1
i48,e08,c1,p35,l3,1
i48,e11,c1,p19,l3,4
i46,e08,c1,p14,l3,2
i66,e09,c3,p21,l3,1
i03,e01,c5,p07,l3,2
i14,e11,c5,p13,l3,1
i14,e08,c5,p28,l3,1
i06,e08,c5,p10,l2,7047
i06,e10,c5,p05,l4,2625
i02,e04,c1,p11,l3,506
i34,e01,c5,p05,l3,13
i16,e04,c5,p18,l3,2
i38,e08,c1,p12,l2,165
i06,e10,c5,p32,l4,925
i38,e10,c4,p19,l3,611
i06,e10,c5,p29,l4,1451
i38,e04,c1,p13,l1,513
i02,e08,c1,p11,l3,2504
i06,e10,c5,p18,l1,104
i06,e10,c3,p05,l3,516
i41,e04,c1,p15,l3,9
i17,e04,c5,p15,l3,46
i06,e10,c5,p32,l1,34
i41,e07,c1,p14,l3,8
i46,e04,c1,p13,l3,5
i06,e04,c5,p18,l1,140
i39,e09,c5,p11,l3,8
i06,e11,c5,p20,l2,30
i38,e10,c7,p10,l2,8
i17,e01,c5,p23,l3,1
i06,e04,c5,p14,l1,126
i41,e01,c1,p11,l3,11
i38,e09,c1,p17,l2,28
i38,e01,c1,p12,l3,47
i02,e09,c1,p24,l3,30
i38,e09,c1,p06,l2,31
i05,e04,c1,p12,l3,10
i23,e03,c5,p05,l3,7
i34,e04,c5,p12,l3,39
i05,e03,c1,p35,l3,14
i14,e08,c5,p16,l3,17
i06,e08,c3,p16,l2,13
i49,e09,c1,p33,l3,1
i06,e01,c5,p30,l3,1
i05,e12,c1,unknown,l3,2
i38,e12,c1,p23,l3,7
i07,e12,c5,p02,l3,2
i17,e09,c5,p32,l3,2
i41,e09,c1,p11,l3,4
i17,e01,c5,p05,l3,12
i46,e01,c1,p16,l3,2
i06,e10,c3,p01,l4,8
i16,e04,c5,p01,l3,4
i38,e08,c1,unknown,l2,4
i43,e09,c1,p02,l3,9
i27,e04,c5,p10,l3,4
i06,e02,c5,p21,l1,3
i21,e04,c1,p10,l3,3
i13,e10,c5,p10,l3,4
i02,e04,c4,p15,l3,2
i05,e06,c1,p21,l3,8
i14,e09,c5,p32,l3,4
i107,e01,c2,p35,l3,1
i23,e13,c5,p15,l3,4
i21,e03,c1,p15,l3,1
i39,e01,c5,p18,l3,2
i16,e08,c5,p03,l3,4
i06,e02,c5,p10,l1,4
i05,e12,c1,p22,l3,1
i07,e09,c5,p10,l3,3
i50,e09,c1,p19,l3,5
i38,e01,c4,p03,l3,2
i30,e09,c1,p13,l3,4
i14,e05,c5,p24,l3,1
i05,e12,c1,p17,l3,6
i65,e01,c3,p10,l3,1
i14,e01,c5,p10,l3,1
i21,e12,c1,p08,l3,1
i13,e09,c5,p06,l3,1
i09,e04,c5,p14,l3,3
i05,e04,c1,p29,l3,2
i14,e11,c5,p29,l3,1
i38,e12,c1,p09,l3,1
i46,e08,c4,p19,l3,1
i06,e04,c3,p10,l1,2
i22,e05,c5,p10,l3,1
i19,e05,c5,p35,l3,1
i22,e05,c5,p13,l3,1
i06,e04,c5,p10,l1,736
i02,e08,c1,p08,l3,32
i38,e10,c1,p12,l3,10959
i06,e08,c5,p06,l2,1014
i17,e09,c5,p12,l3,9
i39,e04,c5,p03,l3,14
i17,e08,c5,p01,l3,82
i38,e10,c1,p06,l4,559
i38,e10,c4,p03,l4,89
i06,e10,c5,p35,l4,1638
i38,e10,c1,p05,l1,35
i38,e10,c1,p12,l2,26
i38,e06,c1,p20,l3,27
i38,e09,c1,p19,l2,136
i06,e01,c5,p10,l3,285
i38,e04,c1,p01,l1,125
i06,e04,c5,p07,l1,116
i38,e10,c1,p06,l2,25
i06,e04,c5,p03,l1,192
i38,e01,c1,p08,l3,6
i05,e12,c1,p11,l3,14
i38,e09,c1,p05,l2,18
i07,e01,c5,p15,l3,1
i06,e09,c5,p13,l2,27
i33,e08,c1,p19,l3,5
i16,e04,c5,p04,l3,1
i16,e08,c5,p10,l3,24
i34,e01,c5,p14,l3,14
i17,e01,c5,p02,l3,8
i16,e08,c5,p21,l3,5
i06,e10,c5,p18,l2,14
i30,e09,c1,p16,l3,2
i30,e01,c1,p09,l3,5
i27,e01,c5,p13,l3,6
i35,e09,c2,p35,l3,3
i34,e04,c5,p08,l3,7
i41,e01,c1,p12,l3,11
i41,e04,c1,p04,l3,5
i01,e08,c1,p23,l3,3
i27,e09,c5,p16,l3,1
i17,e08,c5,p31,l3,15
i23,e04,c5,p18,l3,2
i05,e04,c1,unknown,l3,2
i06,e08,c3,p04,l2,3
i16,e08,c5,p14,l3,4
i05,e12,c1,p18,l3,1
i07,e07,c5,p35,l3,1
i14,e04,c5,p33,l3,2
i43,e08,c1,p06,l3,1
i01,e04,c1,p05,l3,1
i38,e10,c4,p15,l2,1
i38,e04,c7,p13,l1,1
i12,e09,c5,p16,l3,1
i38,e01,c1,p26,l3,1
i06,e09,c5,p04,l2,43
i17,e04,c5,p10,l3,805
i15,e04,c6,p35,l3,85
i06,e12,c5,p15,l3,490
i06,e12,c5,p04,l3,233
i06,e10,c5,p32,l3,8205
i06,e10,c5,p03,l3,29285
i39,e09,c5,p10,l3,40
i38,e08,c1,p01,l2,340
i38,e10,c1,p29,l4,930
i01,e08,c1,p15,l3,5
i02,e01,c1,p17,l3,61
i01,e08,c1,p21,l3,34
i17,e08,c5,p12,l3,48
i38,e10,c1,p18,l3,5740
i38,e10,c1,p15,l1,71
i06,e09,c5,p19,l2,228
i38,e10,c1,p05,l4,1633
i06,e10,c5,p18,l4,1551
i38,e11,c1,p14,l2,60
i63,e10,c1,p10,l3,355
i06,e10,c5,p01,l1,142
i01,e01,c1,p10,l3,25
i01,e01,c1,p35,l3,63
i06,e04,c5,p20,l1,22
i05,e08,c1,p24,l3,9
i05,e12,c1,p15,l3,13
i38,e04,c1,p07,l1,50
i41,e11,c1,p19,l3,29
i38,e10,c4,p05,l3,116
i39,e09,c5,p25,l3,17
i06,e01,c5,p02,l3,24
i05,e06,c1,p11,l3,13
i38,e11,c4,p03,l2,7
i38,e10,c1,p24,l2,31
i06,e09,c5,p35,l2,66
i17,e11,c5,p05,l3,28
i34,e04,c5,p19,l3,25
i38,e08,c1,p08,l2,35
i38,e10,c4,p31,l4,7
i07,e08,c5,p18,l3,5
i06,e07,c5,p35,l2,2
i38,e09,c1,p20,l2,4
i46,e08,c1,p23,l3,2
i16,e09,c5,p01,l3,6
i74,e04,c5,p15,l3,3
i41,e07,c1,p04,l3,15
i25,e08,c5,p10,l3,12
i19,e04,c5,p35,l3,1
i19,e04,c5,p03,l3,1
i100,e08,c5,p10,l3,9
i38,e10,c4,p09,l2,4
i05,e12,c1,p29,l3,2
i23,e09,c5,p20,l3,3
i21,e03,c1,p19,l3,1
i13,e04,c5,p03,l3,4
i09,e09,c5,p17,l3,1
i41,e08,c1,p16,l3,7
i16,e09,c5,p13,l3,1
i23,e01,c5,p20,l3,1
i14,e05,c5,p15,l3,1
i89,e09,c1,p10,l3,14
i38,e11,c1,unknown,l2,1
i22,e05,c5,p03,l3,1
i67,e01,c5,p19,l3,1
i38,e12,c4,p10,l3,1
i05,e07,c1,p24,l3,1
i38,e04,c1,p14,l1,2
i39,e05,c5,p10,l3,1
i66,e04,c3,p18,l3,3
i66,e01,c3,p12,l3,1
i17,e09,c5,p06,l3,1
i43,e01,c1,p13,l3,1
i82,e01,c1,p35,l3,1
i67,e10,c5,p05,l3,3
i05,e03,c1,p16,l3,1
i29,e01,c5,p32,l3,1
i14,e08,c3,p03,l3,1
i02,e08,c1,p03,l3,950
i38,e06,c1,p18,l3,176
i06,e10,c5,p19,l3,87914
i39,e04,c5,p05,l3,63
i38,e11,c1,p10,l2,1049
i06,e08,c5,p23,l2,799
i02,e01,c1,p14,l3,113
i06,e12,c5,p12,l3,171
i17,e08,c5,p23,l3,10
i34,e08,c5,p04,l3,7
i17,e08,c5,p13,l3,48
i13,e04,c5,p24,l3,3
i38,e08,c1,p14,l2,100
i38,e10,c1,unknown,l3,83
i02,e09,c1,p01,l3,115
i61,e11,c1,p35,l3,50
i06,e11,c5,p32,l2,105
i02,e04,c1,p04,l3,82
i06,e10,c5,p35,l2,87
i41,e07,c1,p35,l3,63
i38,e08,c1,p23,l2,29
i38,e10,c4,p07,l3,279
i06,e01,c5,p23,l3,60
i38,e10,c1,p14,l1,8
i06,e10,c5,p12,l1,92
i01,e11,c1,p12,l3,2
i19,e10,c3,p10,l3,25
i06,e11,c5,p08,l2,79
i39,e01,c5,p24,l3,16
i06,e09,c5,p22,l2,41
i39,e01,c5,p16,l3,12
i19,e08,c5,p10,l3,96
i38,e06,c1,p35,l3,45
i38,e09,c1,p29,l2,14
i05,e07,c1,p05,l3,16
i06,e10,c3,p11,l4,32
i07,e04,c5,p21,l3,4
i07,e12,c5,p16,l3,24
i38,e08,c1,p22,l2,41
i13,e11,c5,p23,l3,7
i23,e09,c5,p07,l3,13
i02,e08,c4,p15,l3,14
i29,e04,c5,p04,l3,5
i19,e03,c5,p10,l3,14
i41,e01,c1,p19,l3,13
i38,e07,c1,p24,l2,3
i38,e04,c7,p10,l1,8
i38,e10,c1,p08,l2,12
i06,e11,c3,p10,l2,6
i30,e09,c1,p17,l3,4
i63,e01,c1,p10,l3,5
i43,e04,c1,p18,l3,2
i03,e01,c5,p10,l3,10
i16,e04,c5,p11,l3,6
i34,e09,c5,p21,l3,7
i09,e09,c5,p24,l3,112
i38,e05,c1,p35,l1,4
i34,e04,c5,p24,l3,1
i01,e09,c1,p21,l3,3
i73,e01,c3,p35,l3,1
i06,e10,c3,p03,l1,1
i33,e08,c1,p03,l3,1
i05,e03,c1,p05,l3,1
i27,e04,c5,p17,l3,2
i23,e03,c5,p16,l3,2
i04,e09,c3,p24,l3,1
i12,e08,c5,p18,l3,2
i46,e11,c1,p14,l3,1
i48,e11,c1,p06,l3,2
i19,e03,c5,p35,l3,2
